# TUFS Basic Turkish Wordnet	tur	http://www.coelang.tufs.ac.jp/mt/tr/	CC BY 4.0
15210045-n	tur:lemma	Ocak
08078020-n	tur:pron	aile			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1555.mp3	
10236304-n	tur:lemma	aile
10236304-n	tur:exe	0	Benim ailem Antalya'da oturuyor.
10236304-n	tur:exe	1	Her ay aileme para gönderiyorum.
10236304-n	tur:count	aile	2
10236304-n	tur:pron	aile			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1555.mp3	
07970406-n	tur:lemma	aile
07970406-n	tur:exe	0	Benim ailem Antalya'da oturuyor.
07970406-n	tur:exe	1	Her ay aileme para gönderiyorum.
07970406-n	tur:count	aile	2
07970406-n	tur:pron	aile			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1555.mp3	
07970406-n	tur:lemma	aile
07970406-n	tur:exe	0	Benim ailem Antalya'da oturuyor.
07970406-n	tur:count	aile	1
07970406-n	tur:pron	aile			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1555.mp3	
04197391-n	tur:lemma	gömlek
04197391-n	tur:exe	0	Müdür, sırtına beyaz gömlek giymiş, ellerini göbeğinin üstünden kavuşturmuş.
04197391-n	tur:count	gömlek	1
04197391-n	tur:pron	gömlek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1802.mp3	
09918248-n	tur:lemma	çocuk
09918248-n	tur:exe	0	O çocuklar Türkçe konuşur mu ?     
09918248-n	tur:exe	1	5 Mayıs Çocuklar Günü'dür.
09918248-n	tur:exe	2	Bayramda komşular çocuklara şeker verir.
09918248-n	tur:exe	3	Çocuk annesini görünce sustu.
09918248-n	tur:exe	4	Çocuk merdivenden düşmüş.
09918248-n	tur:exe	5	Çocuklar yüzme havuzunu çok sever.
09918248-n	tur:count	çocuk	6
09918248-n	tur:pron	çocuk			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1962.mp3	
12212361-n	tur:lemma	sebze
12212361-n	tur:exe	0	Önce suyu kaynatın, sonra içine sebzeleri koyun.
12212361-n	tur:count	sebze	1
12212361-n	tur:pron	sebze			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1542.mp3	
07707451-n	tur:lemma	sebze
07707451-n	tur:exe	0	Önce suyu kaynatın, sonra içine sebzeleri koyun.
07707451-n	tur:count	sebze	1
07707451-n	tur:pron	sebze			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1542.mp3	
03365991-n	tur:lemma	kat
03365991-n	tur:exe	0	Ana binanın üçüncü katında.
03365991-n	tur:exe	1	Ben o apartmanın beşinci katında oturuyorum.
03365991-n	tur:exe	2	Mümkünse birinci katta bir oda istiyorum.
03365991-n	tur:count	kat	3
03365991-n	tur:pron	kat			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1701.mp3	
00976508-a	tur:lemma	hızlı
00976508-a	tur:exe	0	Japonya’da trenler hızlı mıdır?
00976508-a	tur:exe	1	Evet, çok hızlıdır.
00976508-a	tur:exe	2	Gerçekten çok hızlıymış.
00976508-a	tur:exe	3	Konuşmacı çok hızlı konuştu. Anlayabildiniz mi?
00976508-a	tur:count	hızlı	4
00976508-a	tur:pron	hızlı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1500.mp3	
00981818-a	tur:lemma	hızlı
00981818-a	tur:exe	0	Japonya’da trenler hızlı mıdır?
00981818-a	tur:exe	1	Evet, çok hızlıdır.
00981818-a	tur:exe	2	Gerçekten çok hızlıymış.
00981818-a	tur:exe	3	Konuşmacı çok hızlı konuştu. Anlayabildiniz mi?
00981818-a	tur:count	hızlı	4
00981818-a	tur:pron	hızlı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1500.mp3	
00979862-a	tur:lemma	hızlı
00979862-a	tur:exe	0	Japonya’da trenler hızlı mıdır?
00979862-a	tur:exe	1	Evet, çok hızlıdır.
00979862-a	tur:exe	2	Gerçekten çok hızlıymış.
00979862-a	tur:exe	3	Konuşmacı çok hızlı konuştu. Anlayabildiniz mi?
00979862-a	tur:count	hızlı	4
00979862-a	tur:pron	hızlı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1500.mp3	
01367431-a	tur:lemma	coşkulu
01367431-a	tur:exe	0	Dünkü cumhuriyet bayramı kutlamaları gerçekten coşkuluydu.
01367431-a	tur:count	coşkulu	1
01367431-a	tur:pron	coşkulu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1755.mp3	
07644382-n	tur:lemma	tavuk
07644382-n	tur:exe	0	Bugün tavuk yiyelim.
07644382-n	tur:count	tavuk	1
07644382-n	tur:pron	tavuk			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1545.mp3	
07644967-n	tur:lemma	tavuk
07644967-n	tur:exe	0	Bugün tavuk yiyelim.
07644967-n	tur:count	tavuk	1
07644967-n	tur:pron	tavuk			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1545.mp3	
07813107-n	tur:lemma	tuz
07813107-n	tur:exe	0	Biraz tuz verir misin?
07813107-n	tur:count	tuz	1
07813107-n	tur:pron	tuz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1838.mp3	
07825972-n	tur:lemma	soya sosu
07825972-n	tur:exe	0	Nerede soya sosu buldun?
07825972-n	tur:count	soya sosu	1
07825972-n	tur:pron	soya sosu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1837.mp3	
02005948-v	tur:lemma	var-
02005948-v	tur:exe	0	İstanbul'a varınca hemen beni ara.
02005948-v	tur:exe	1	Evvelki gün İstanbul'a varmış.
02005948-v	tur:pron	var-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1684.mp3	
02930766-n	tur:lemma	taksi
02930766-n	tur:exe	0	Ben buradan taksiye bineceğim.
02930766-n	tur:count	taksi	1
02930766-n	tur:pron	taksi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1512.mp3	
04371225-n	tur:lemma	yüzme havuzu
04371225-n	tur:exe	0	Çocuklar yüzme havuzunu çok sever.
04371225-n	tur:count	yüzme havuzu	1
04371225-n	tur:pron	yüzme havuzu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1504.mp3	
00604617-a	tur:lemma	kullanışlı
00604617-a	tur:exe	0	Çubuk bizim için çok kullanışlı.
00604617-a	tur:count	kullanışlı	1
00604617-a	tur:pron	kullanışlı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1982.mp3	
15237250-n	tur:lemma	yaz
15237250-n	tur:exe	0	Temmuz'da yaz tatili başlar.
15237250-n	tur:count	yaz	1
15237250-n	tur:pron	yaz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1889.mp3	
03757138-n	tur:lemma	metro
03757138-n	tur:exe	0	İstanbul'da metro yapılmaktadır.
03757138-n	tur:exe	1	Belediye Başkanı "metro inşaatını bitirmekteyiz" dedi.
03757138-n	tur:count	metro	2
03757138-n	tur:pron	metro			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1640.mp3	
04349306-n	tur:lemma	metro
04349306-n	tur:exe	0	İstanbul'da metro yapılmaktadır.
04349306-n	tur:exe	1	Belediye Başkanı "metro inşaatını bitirmekteyiz" dedi.
04349306-n	tur:count	metro	2
04349306-n	tur:pron	metro			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1640.mp3	
77000090-n	tur:lemma	nasıl
77000090-n	tur:exe	0	Nasıl, hediyeni beğendin mi?
77000090-n	tur:exe	1	 Siz nasılsınız ?     
77000090-n	tur:exe	2	Eşiniz nasıl?
77000090-n	tur:exe	3	Harajuku’ya nasıl gidilir ?
77000090-n	tur:exe	4	İyi günler efendim, nasıl yardımcı olabilirim?
77000090-n	tur:exe	5	Merhaba, nasılsınız ?          
77000090-n	tur:exe	6	Murat, buradan Beşiktaş’a nasıl gidebilirim?
77000090-n	tur:exe	7	Nasılsınız ? İyisinizdir inşallah.                                  
77000090-n	tur:exe	8	Peki, perşembe günü nasıl?
77000090-n	tur:count	nasıl	9
77000090-n	tur:pron	nasıl			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1733.mp3	
80001331-x	tur:lemma	nasıl
80001331-x	tur:exe	0	Nasıl, hediyeni beğendin mi?
80001331-x	tur:exe	1	 Siz nasılsınız ?     
80001331-x	tur:exe	2	Eşiniz nasıl?
80001331-x	tur:exe	3	Harajuku’ya nasıl gidilir ?
80001331-x	tur:exe	4	İyi günler efendim, nasıl yardımcı olabilirim?
80001331-x	tur:exe	5	Merhaba, nasılsınız ?          
80001331-x	tur:exe	6	Murat, buradan Beşiktaş’a nasıl gidebilirim?
80001331-x	tur:exe	7	Nasılsınız ? İyisinizdir inşallah.                                  
80001331-x	tur:exe	8	Peki, perşembe günü nasıl?
80001331-x	tur:count	nasıl	9
80001331-x	tur:pron	nasıl			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1733.mp3	
77000104-n	tur:lemma	ne zaman
77000104-n	tur:exe	0	Ne zaman onu öğrendin?
77000104-n	tur:exe	1	Ne zaman ödevini vereceksin?
77000104-n	tur:exe	2	Ne zaman?
77000104-n	tur:count	ne zaman	3
77000104-n	tur:pron	ne zaman			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1914.mp3	
04105893-n	tur:lemma	oda
04105893-n	tur:exe	0	Buyurun, sizi odanıza kadar götüreyim.
04105893-n	tur:exe	1	Çok geniş bir odada ikimiz kaldık.
04105893-n	tur:exe	2	Babam yatak odasında.
04105893-n	tur:exe	3	Bu odada sigara içmek yasaktır.
04105893-n	tur:exe	4	Tek kişilik bir oda istiyorum.
04105893-n	tur:exe	5	Nasıl bir oda istersiniz?
04105893-n	tur:exe	6	Mümkünse birinci katta bir oda istiyorum.
04105893-n	tur:exe	7	Evet, istediğiniz gibi bir odamız var.
04105893-n	tur:exe	8	Alçak tavanlı bir oda.
04105893-n	tur:count	oda	9
04105893-n	tur:pron	oda			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1566.mp3	
04105893-n	tur:lemma	apartman
04105893-n	tur:exe	0	Ben o apartmanın beşinci katında oturuyorum.
04105893-n	tur:count	apartman	1
04105893-n	tur:pron	apartman			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1720.mp3	
06415419-n	tur:lemma	defter
06415419-n	tur:exe	0	Deftere bu cümleyi yaz.                   
06415419-n	tur:exe	1	Büyük boy bir defter arıyorum.
06415419-n	tur:count	defter	2
06415419-n	tur:pron	defter			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1610.mp3	
01376705-a	tur:lemma	ünlü
01376705-a	tur:exe	0	O şarkıcı çok ünlüymüş.                     
01376705-a	tur:count	ünlü	1
01376705-a	tur:pron	ünlü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1992.mp3	
01375831-a	tur:lemma	ünlü
01375831-a	tur:exe	0	O şarkıcı çok ünlüymüş.                     
01375831-a	tur:count	ünlü	1
01375831-a	tur:pron	ünlü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1992.mp3	
00953216-v	tur:lemma	anlat-
00953216-v	tur:exe	0	O kendi deneyimini anlattı.
00953216-v	tur:pron	anlat-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1955.mp3	
00962447-v	tur:lemma	anlat-
00962447-v	tur:exe	0	O kendi deneyimini anlattı.
00962447-v	tur:pron	anlat-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1955.mp3	
02935891-n	tur:lemma	lokanta
02935891-n	tur:exe	0	O lokantada yemek yiyelim.
02935891-n	tur:exe	1	Lokantalar yukarıda galiba.
02935891-n	tur:count	lokanta	2
02935891-n	tur:pron	lokanta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1671.mp3	
01984902-v	tur:lemma	otur-
01984902-v	tur:exe	0	Biraz oturup muhabbet ederiz.
01984902-v	tur:exe	1	Senin sağ tarafında kim oturuyor?
01984902-v	tur:exe	2	Sandalyede kedi oturuyor.
01984902-v	tur:exe	3	Ahmet'le Ayşe yan yana oturdular.
01984902-v	tur:exe	4	Kafede oturalım mı?
01984902-v	tur:exe	5	Fatma Deniz’in arkasında oturuyor.
01984902-v	tur:exe	6	Fatma Deniz’in arkasında oturuyor.
01984902-v	tur:exe	7	Oturup çay için, bekleyin.
01984902-v	tur:pron	otur-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1596.mp3	
00120223-r	tur:lemma	-arak/-erek	__yürü-yerek
00120223-r	tur:exe	0	Yürüyerek yeme.
00120223-r	tur:pron	-arak/-erek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1910.mp3	
00120095-r	tur:lemma	-arak/-erek	__yürü-yerek
00120095-r	tur:exe	0	Yürüyerek yeme.
00120095-r	tur:pron	-arak/-erek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1910.mp3	
02386612-a	tur:lemma	küçük
02386612-a	tur:exe	0	Küçük bir ağız.
02386612-a	tur:count	küçük	1
02386612-a	tur:pron	küçük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1751.mp3	
02386612-a	tur:lemma	kısa
02386612-a	tur:exe	0	Benim kalemim ondan daha kısa.
02386612-a	tur:exe	1	Son günlerde kısa etek çok moda.
02386612-a	tur:exe	2	Kısa, kıvırcık saçlı.
02386612-a	tur:exe	3	En kısa zamanda mallar elinizde olacak.
02386612-a	tur:count	kısa	4
02386612-a	tur:pron	kısa			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1590.mp3	
02345713-a	tur:lemma	kötü
02345713-a	tur:exe	0	Durum çok kötü!
02345713-a	tur:count	kötü	1
02345713-a	tur:pron	kötü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1764.mp3	
00478311-a	tur:lemma	kötü
00478311-a	tur:exe	0	Durum çok kötü!
00478311-a	tur:count	kötü	1
00478311-a	tur:pron	kötü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1764.mp3	
01174222-a	tur:lemma	kötü
01174222-a	tur:exe	0	Durum çok kötü!
01174222-a	tur:count	kötü	1
01174222-a	tur:pron	kötü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1764.mp3	
03025755-n	tur:lemma	çubuk
03025755-n	tur:exe	0	Japonlar çubukla yemek yerler.
03025755-n	tur:exe	1	Çubuk bizim için çok kullanışlı.
03025755-n	tur:count	çubuk	2
03025755-n	tur:pron	çubuk			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1659.mp3	
15166191-n	tur:lemma	öğleden sonra
15166191-n	tur:exe	0	Öğleden sonra saat dörtte başlayacak.
15166191-n	tur:exe	1	Öğleden sonra da randevum var.
15166191-n	tur:exe	2	Öğleden sonra olur mu?
15166191-n	tur:count	öğleden sonra	3
15166191-n	tur:pron	öğleden sonra			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1896.mp3	
80000080-n	tur:lemma	bu ay
80000080-n	tur:exe	0	Evet, bu ay sonunda gidiyorum.
80000080-n	tur:exe	1	Bu ayın 15’ine kadar tüm siparişlerin bize ulaşmasını istiyorum.
80000080-n	tur:count	bu ay	2
80000080-n	tur:pron	bu ay			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1858.mp3	
06624161-n	tur:lemma	mektup
06624161-n	tur:exe	0	Bana mektup yazar mısın?
06624161-n	tur:count	mektup	1
06624161-n	tur:pron	mektup			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1689.mp3	
01909812-v	tur:lemma	dön-
01909812-v	tur:exe	0	O köşeden dönerseniz hemen evimi görürsünüz.
01909812-v	tur:pron	dön-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1562.mp3	
07929519-n	tur:lemma	kahve
07929519-n	tur:exe	0	Kahve bitmiş.
07929519-n	tur:count	kahve	1
07929519-n	tur:pron	kahve			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1647.mp3	
01729431-v	tur:lemma	söyle-
01729431-v	tur:exe	0	Şarkı söyleyerek yemek yapıyor.
01729431-v	tur:pron	söyle-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1921.mp3	
11501381-n	tur:lemma	yağmur
11501381-n	tur:exe	0	Akşam yağmur yağacakmış, yanına şemsiye al.
11501381-n	tur:exe	1	Bugün yağmur yağacak.
11501381-n	tur:exe	2	Yağmur yağmış.
11501381-n	tur:exe	3	Kışın yağmur yağar.
11501381-n	tur:exe	4	Bugün yağmur yağabilir. 
11501381-n	tur:count	yağmur	5
11501381-n	tur:pron	yağmur			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1939.mp3	
07749582-n	tur:lemma	limon
07749582-n	tur:exe	0	Türkiye'de salata için mutlaka limon lazım.
07749582-n	tur:count	limon	1
07749582-n	tur:pron	limon			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1649.mp3	
90000511-n	tur:lemma	evvelki gün
90000511-n	tur:exe	0	Evvelki gün İstanbul'a varmış.
90000511-n	tur:count	evvelki gün	1
90000511-n	tur:pron	evvelki gün			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1908.mp3	
00118032-r	tur:lemma	hadi
00118032-r	tur:exe	0	Hadi ben gidiyorum. Yarın görüşürüz.
00118032-r	tur:exe	1	Hadi içeriye girin.
00118032-r	tur:exe	2	Hadi yemek yiyelim.
00118032-r	tur:exe	3	Hadi, tekrar alıştırma yapalım.
00118032-r	tur:count	hadi	4
00118032-r	tur:pron	hadi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1996.mp3	
00118032-r	tur:lemma	o zaman
00118032-r	tur:exe	0	O zaman saat 4'te okulda görüşelim.
00118032-r	tur:exe	1	O zaman beraber sinemaya gidelim mi?
00118032-r	tur:count	o zaman	2
00118032-r	tur:pron	o zaman			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1994.mp3	
04468005-n	tur:lemma	tren
04468005-n	tur:exe	0	Örneğin, trenler otobüsten daha yavaş gider.
04468005-n	tur:exe	1	Trenin gecikmesi yüzünden derse geç kaldım. 
04468005-n	tur:exe	2	Otobüsler, trenler geç kalmamalı.
04468005-n	tur:exe	3	Japonya’da trenler hızlı mıdır?
04468005-n	tur:exe	4	Mesela, Tokyo ile Osaka arası 550 km’dir ve ekspres tren ile 2,5 saat sürer.
04468005-n	tur:exe	5	Maalesef Türkiye’deki trenler çok yavaştır.
04468005-n	tur:count	tren	6
04468005-n	tur:pron	tren			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1645.mp3	
77000002-n	tur:lemma	biz
77000002-n	tur:exe	0	Öğretmen bize soru sordu.
77000002-n	tur:exe	1	Biz geldik.
77000002-n	tur:exe	2	Bu ayın 15’ine kadar tüm siparişlerin bize ulaşmasını istiyorum.
77000002-n	tur:exe	3	Çubuk bizim için çok kullanışlı.
77000002-n	tur:count	biz	4
77000002-n	tur:pron	biz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1725.mp3	
15206296-n	tur:lemma	bir ay
15206296-n	tur:exe	0	Bir ay Türkiye'de kalacağım.
15206296-n	tur:count	bir ay	1
15206296-n	tur:pron	bir ay			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1872.mp3	
02834778-n	tur:lemma	bisiklet
02834778-n	tur:exe	0	Ağabeyimin bisikleti yeni, benimki eski.
02834778-n	tur:count	bisiklet	1
02834778-n	tur:pron	bisiklet			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1506.mp3	
06597466-n	tur:lemma	dergi
06597466-n	tur:exe	0	Getirdiği dergiyi çıkarıp okumaya başladı.
06597466-n	tur:count	dergi	1
06597466-n	tur:pron	dergi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1533.mp3	
06595351-n	tur:lemma	dergi
06595351-n	tur:exe	0	Getirdiği dergiyi çıkarıp okumaya başladı.
06595351-n	tur:count	dergi	1
06595351-n	tur:pron	dergi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1533.mp3	
03704210-n	tur:lemma	dergi
03704210-n	tur:exe	0	Getirdiği dergiyi çıkarıp okumaya başladı.
03704210-n	tur:count	dergi	1
03704210-n	tur:pron	dergi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1533.mp3	
08238463-n	tur:lemma	sınıf
08238463-n	tur:exe	0	Sınıfında kaç erkek var?
08238463-n	tur:count	sınıf	1
08238463-n	tur:pron	sınıf			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1599.mp3	
00050454-v	tur:lemma	soyun-
00050454-v	tur:exe	0	Çok ıslandım. Hemen soyunup banyoya girdim.
00050454-v	tur:pron	soyun-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1803.mp3	
02649830-v	tur:lemma	otur-
02649830-v	tur:exe	0	Ablan nerede oturuyor?
02649830-v	tur:exe	1	Ben o apartmanın beşinci katında oturuyorum.
02649830-v	tur:exe	2	Yanında bir karıkoca oturuyordu.
02649830-v	tur:exe	3	Nerede oturuyorsunuz ?
02649830-v	tur:exe	4	Tokyo'da oturuyorum.
02649830-v	tur:exe	5	Benim ailem Antalya'da oturuyor.
02649830-v	tur:pron	otur-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1596.mp3	
15155891-n	tur:lemma	yarın
15155891-n	tur:exe	0	Yarın işim var ama öbür gün boşum.
15155891-n	tur:exe	1	Yarın ne yapıyorsun? 
15155891-n	tur:exe	2	Yarın bir şey yapmıyorum, boşum.
15155891-n	tur:exe	3	Hadi ben gidiyorum. Yarın görüşürüz.
15155891-n	tur:exe	4	Babaannem yarın evimize gelecek.
15155891-n	tur:exe	5	Yarın seyahate çıkıyorum.
15155891-n	tur:exe	6	Yarın okul başlayacak.
15155891-n	tur:exe	7	Mehmet yarın gelir.
15155891-n	tur:exe	8	Yarın için herhangi bir planın var mı?
15155891-n	tur:exe	9	Yarın sizin için uygun mu?
15155891-n	tur:exe	10	Bana göre yarın çok uygun.
15155891-n	tur:exe	11	Yarın akşam mı?
15155891-n	tur:count	yarın	12
15155891-n	tur:pron	yarın			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1898.mp3	
04208936-n	tur:lemma	duş
04208936-n	tur:exe	0	Üç gündür duş almıyorum.
04208936-n	tur:count	duş	1
04208936-n	tur:pron	duş			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1714.mp3	
15213774-n	tur:lemma	Aralık
15213774-n	tur:exe	0	Ankara'da Aralık'ta kar yağıyor mu?
15213774-n	tur:count	Aralık	1
15213774-n	tur:pron	Aralık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1860.mp3	
00625119-v	tur:lemma	oku-
00625119-v	tur:exe	0	Ben kitap okumayı çok severim.
00625119-v	tur:exe	1	Getirdiği dergiyi çıkarıp okumaya başladı.
00625119-v	tur:exe	2	Çin yazısını okuyabiliyor musun?
00625119-v	tur:exe	3	Çok kalın bir kitap okuyorsun.
00625119-v	tur:exe	4	Öğrenciler o kitabı okuyor.  
00625119-v	tur:exe	5	O gazete tüm Türkiye'de okunuyor.
00625119-v	tur:exe	6	O yazıyı okuyunca şaşırdım.  
00625119-v	tur:exe	7	Öz geçmişinizi okudum.
00625119-v	tur:pron	oku-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1529.mp3	
02774152-n	tur:lemma	çanta
02774152-n	tur:exe	0	Çantam nerede?
02774152-n	tur:exe	1	Oradaki kırmızı çantayı istiyorum.
02774152-n	tur:count	çanta	2
02774152-n	tur:pron	çanta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1708.mp3	
02773037-n	tur:lemma	çanta
02773037-n	tur:exe	0	Çantam nerede?
02773037-n	tur:exe	1	Oradaki kırmızı çantayı istiyorum.
02773037-n	tur:count	çanta	2
02773037-n	tur:pron	çanta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1708.mp3	
13250542-n	tur:lemma	para
13250542-n	tur:exe	0	Her ay aileme para gönderiyorum.
13250542-n	tur:exe	1	Girişte mi para vereceğiz?
13250542-n	tur:exe	2	Türkiye’ye gitmek için para biriktiriyorum.
13250542-n	tur:count	para	3
13250542-n	tur:pron	para			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1675.mp3	
13384557-n	tur:lemma	para
13384557-n	tur:exe	0	Her ay aileme para gönderiyorum.
13384557-n	tur:exe	1	Girişte mi para vereceğiz?
13384557-n	tur:exe	2	Türkiye’ye gitmek için para biriktiriyorum.
13384557-n	tur:count	para	3
13384557-n	tur:pron	para			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1675.mp3	
05600637-n	tur:lemma	yüz
05600637-n	tur:exe	0	Önce yüzünü yıka, sonra yemeğe gel.
05600637-n	tur:exe	1	Yalan söyleyince yüzü kızarır.
05600637-n	tur:count	yüz	2
05600637-n	tur:pron	yüz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1819.mp3	
07597365-n	tur:lemma	şeker
07597365-n	tur:exe	0	Bayramda komşular çocuklara şeker verir.
07597365-n	tur:count	şeker	1
07597365-n	tur:pron	şeker			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1651.mp3	
00024356-r	tur:lemma	hayır
00024356-r	tur:exe	0	Hayır görmedim.
00024356-r	tur:exe	1	Ahmet Bey doktor mu? Evet, doktor./ Hayır, doktor değil.
00024356-r	tur:exe	2	Çiçekler güzel mi? Evet, güzel./ Hayır, güzel değil.
00024356-r	tur:exe	3	Hayır, hiç anlayamadık.
00024356-r	tur:exe	4	Hayır, o benim değil.
00024356-r	tur:exe	5	Hayır, teşekkürler.
00024356-r	tur:exe	6	Hayır, yok.
00024356-r	tur:count	hayır	7
00024356-r	tur:pron	hayır			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1679.mp3	
03176763-n	tur:lemma	büyük mağaza
03176763-n	tur:exe	0	Kızılay'da yeni bir büyük mağaza yapıldı.
03176763-n	tur:count	büyük mağaza	1
03176763-n	tur:pron	büyük mağaza			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1702.mp3	
01725051-v	tur:lemma	çalmak
01725051-v	tur:exe	0	Ahmet her akşam piano çalar.
01725051-v	tur:pron	çalmak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1926.mp3	
03388183-n	tur:lemma	dolma kalem
03388183-n	tur:exe	0	Bunun adı dolma kalem.
03388183-n	tur:count	dolma kalem	1
03388183-n	tur:pron	dolma kalem			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1854.mp3	
77000089-a	tur:lemma	böyle
77000089-a	tur:exe	0	Böyle bir şey olamaz.
77000089-a	tur:count	böyle	1
77000089-a	tur:pron	böyle			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1736.mp3	
15164354-n	tur:lemma	Perşembe
15164354-n	tur:exe	0	Peki, perşembe günü nasıl?
15164354-n	tur:exe	1	Perşembe günü de meşgulüm ama öğleden sonra 
15164354-n	tur:count	Perşembe	2
15164354-n	tur:pron	Perşembe			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1876.mp3	
