# TUFS Basic Central Khmer Wordnet	khm http://www.coelang.tufs.ac.jp/mt/km/	CC BY 4.0
04197391-n	khm:exe	អាវយឺតនេះ ថ្លៃប៉ុន្មាន?
09918248-n	khm:lemma	កូន
09918248-n	khm:exe	ការសេពគប់មិត្តល្អ ធ្វើឲ្យកូនគាត់ក្លាយជាក្មេងស្លូតបូត។
12212361-n	khm:lemma	បន្លែ
12212361-n	khm:exe	ហាងលក់បន្លែនេះចូលច្រើនតែបរទេស។
07707451-n	khm:lemma	បន្លែ
07707451-n	khm:exe	ហាងលក់បន្លែនេះចូលច្រើនតែបរទេស។
03365991-n	khm:lemma	ជាន់
03365991-n	khm:exe	ខ្ញុំចង់បានបន្ទប់នៅជាន់ទីបី បង្អួចបែរទៅរកថ្នល់ធំខាងមុខ។
00976508-a	khm:lemma	រហ័ស
00976508-a	khm:exe	ឆ្មាឆក់ត្រីអាំងយកបាត់រហ័សមើលមិនទាន់។
00981818-a	khm:lemma	រហ័ស
00981818-a	khm:exe	ឆ្មាឆក់ត្រីអាំងយកបាត់រហ័សមើលមិនទាន់។
00979862-a	khm:lemma	រហ័ស
00979862-a	khm:exe	ឆ្មាឆក់ត្រីអាំងយកបាត់រហ័សមើលមិនទាន់។
01367431-a	khm:lemma	អឺងកង
01367431-a	khm:exe	ពេលចេញលេង សិស្សស្រែកលេងអឺងកង។
07644382-n	khm:lemma	សាច់មាន់
07644382-n	khm:exe	សាច់គោថ្លៃជាងសាច់មាន់។
07644967-n	khm:lemma	សាច់មាន់
07644967-n	khm:exe	សាច់គោថ្លៃជាងសាច់មាន់។
07813107-n	khm:lemma	អំបិល
07813107-n	khm:exe	បបរស្ករនេះ បើថែមអំបិលបន្ដិច វានឹងផ្អែមឆ្ងាញ់។
07825972-n	khm:lemma	ទឹកស៊ីអ៊ីវ
07825972-n	khm:exe	មុនទៅស្រែ គាត់ហូបបបរច្រូចទឹកស៊ីអ៊ីវ។
02005948-v	khm:lemma	ដល់
02005948-v	khm:exe	ពីខ្លោងទ្វារវត្ត ទៅដល់វត្ត ចម្ងាយ១គីឡូម៉ែត្រ។
02930766-n	khm:lemma	ឡានតាក់ស៊ី
02930766-n	khm:exe	បេនឡានតាក់ស៊ីភ្នំពេញ–តាកែវនៅផ្សារដើមគរ។
04371225-n	khm:lemma	អាងហែល
04371225-n	khm:exe	ផ្ទះវីឡាធំៗច្រើនមានអាងហែលទឹក។
00604617-a	khm:lemma	ងាយស្រួល
00604617-a	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
15237250-n	khm:lemma	រដូវក្ដៅ
15237250-n	khm:exe	រដូវក្ដៅនៅតូក្យូ ក្ដៅស្អុះណាស់។
03757138-n	khm:lemma	រទេះភ្លើងក្រោមដី
03757138-n	khm:exe	គាត់វង្វេងមិនចេះដូររទេះភ្លើងក្រោមដី។
04349306-n	khm:lemma	រទេះភ្លើងក្រោមដី
04349306-n	khm:exe	គាត់វង្វេងមិនចេះដូររទេះភ្លើងក្រោមដី។
77000090-n	khm:lemma	ត្រូវការអី
77000090-n	khm:exe	ហាងយើងមានស្រា និងស្រាបៀគ្រប់ប្រភេទ តើត្រូវការអ្វីចាស?
80001331-x	khm:lemma	ត្រូវការអី
80001331-x	khm:exe	ហាងយើងមានស្រា និងស្រាបៀគ្រប់ប្រភេទ តើត្រូវការអ្វីចាស?
77000104-n	khm:lemma	ពេលណា
77000104-n	khm:exe	ទៅពេលណា?
04105893-n	khm:lemma	ផ្ទះល្វែង
04105893-n	khm:exe	ផ្ទះល្វែងសង់ជាប់ៗគ្នាត្រង់ភ្លឹងតាមដងមហាវិថីធំៗ។
06415419-n	khm:lemma	សៀវភៅសរសេរ
06415419-n	khm:exe	ចូលកងវិញ មានការចែកសៀវភៅសរសេរដល់សិស្សានុសិស្ស។
01376705-a	khm:lemma	ល្បី
01376705-a	khm:exe	គាត់ជាគ្រូដែលល្បីថាកាចជាងគេ។
01375831-a	khm:lemma	ល្បី
01375831-a	khm:exe	គាត់ជាគ្រូដែលល្បីថាកាចជាងគេ។
00953216-v	khm:lemma	និទាន
00953216-v	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
00962447-v	khm:lemma	និទាន
00962447-v	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
02935891-n	khm:lemma	ហាងបាយ
02935891-n	khm:exe	ហាងបាយតាមសាលាលក់ថោក។
01984902-v	khm:lemma	អង្គុយ
01984902-v	khm:exe	បើខ្ញុំវិញ នឹងរកតូបនៅក្បែរឆេ្នរទឹក អង្គុយមើលទេសភាព ពេលភ្លៀងធា្លក់។
00120223-r	khm:lemma	ផង
00120223-r	khm:exe	វាយឯកសារផង ចែកសំបុត្រផង។
00120095-r	khm:lemma	ផង
00120095-r	khm:exe	វាយឯកសារផង ចែកសំបុត្រផង។
02386612-a	khm:lemma	តូច
02386612-a	khm:exe	រួចហើយ យកកាវបិទលើកា្តរតូចនេះឲ្យជាប់។
02386612-a	khm:lemma	ខ្លី
02386612-a	khm:exe	ខោខ្លីលេចជើងវែង។
02345713-a	khm:lemma	អាក្រក់
02345713-a	khm:exe	ស្ថានភាពសង្គមកាន់តែអាក្រក់ទៅៗ។
00478311-a	khm:lemma	អាក្រក់
00478311-a	khm:exe	ស្ថានភាពសង្គមកាន់តែអាក្រក់ទៅៗ។
01174222-a	khm:lemma	អាក្រក់
01174222-a	khm:exe	ស្ថានភាពសង្គមកាន់តែអាក្រក់ទៅៗ។
03025755-n	khm:lemma	ចង្កើះ
03025755-n	khm:exe	ខ្មែរមិនប្រើចង្កើះសំរាប់ញ៉ាំបាយទេ។
15166191-n	khm:lemma	ពេលល្ងាច
15166191-n	khm:exe	ម៉ោង៥ពេលល្ងាច សិស្សគោរពបង្ហូតទង់ជាតិចុះ។
80000080-n	khm:lemma	ខែនេះ
80000080-n	khm:exe	ខែនេះ មានថ្ងៃឈប់ច្រើន។
06624161-n	khm:lemma	សំបុត្រ
06624161-n	khm:exe	ស្រុកខ្មែរមិនទាន់មានប្រអប់សំបុត្រសាធារណៈនៅឡើយទេ។
01909812-v	khm:lemma	បត់
01909812-v	khm:exe	ដើម្បីបត់ឆ្វេង គេលើកដៃឆ្វេង។
07929519-n	khm:lemma	កាហ្វេ
07929519-n	khm:exe	បាទ ខ្ញុំផឹកកាហ្វេ។
01729431-v	khm:lemma	ច្រៀង
01729431-v	khm:exe	ហ្អូ៎ អារឿងរាំច្រៀង ខ្ញុំចូលចិត្តលេខមួយ។
11501381-n	khm:lemma	ទឹកភ្លៀង
11501381-n	khm:exe	ហេតុអីបានជាបណ្តោយឲ្យត្រូវទឹកភ្លៀងអញ្ចឹង?
07749582-n	khm:lemma	ក្រូចឆ្មារ
07749582-n	khm:exe	ញ៉ាំគុយទាវពេលព្រឹក និងផឹកតែលីបតុងក្រូចឆ្មារ ឆ្ងាញ់ណាស់។
90000511-n	khm:lemma	ម្សិលម៉្ងៃ
90000511-n	khm:exe	ចាស មកពីម្សិលម៉្ងៃ ខ្ញុំត្រូវទឹកភ្លៀង។
00118032-r	khm:lemma	ឥឡូវនេះ
00118032-r	khm:exe	ឥឡូវនេះ ខ្ញុំសូមឧទ្ទេសនាមជូនអំពីនិក្ខេបបទខ្ញុំ។
00118032-r	khm:lemma	អញ្ចឹង
00118032-r	khm:exe	អញ្ចឹង ខ្ញុំនឹងទៅមិនខាន។
04468005-n	khm:lemma	រទេះភ្លើង
04468005-n	khm:exe	ផ្លូវរទេះភ្លើងចាស់ទ្រុឌទ្រោម។
77000002-n	khm:lemma	ពួកខ្ញុំ
77000002-n	khm:exe	ពួកខ្ញុំមិនសុខចិត្តនឹងទង្វើរបស់លោកឯងទេ។
15206296-n	khm:lemma	មួយខែ
15206296-n	khm:exe	ផ្ទះខ្ញុំមាត់ច្រើនណាស់ មួយខែស៊ីអស់អង្ករមួយបាវ។
02834778-n	khm:lemma	កង់
02834778-n	khm:exe	កង់មីយ៉ាតាធាក់ធូរជាងកង់មីគី។
06597466-n	khm:lemma	ទស្សនាវដ្ដី
06597466-n	khm:exe	ទស្សនាវដ្តីវិទ្យាសាស្ត្របច្ចេកទេសកំពុងពេញនិយមក្នុងចំណោមយុវសិស្ស។
06595351-n	khm:lemma	ទស្សនាវដ្ដី
06595351-n	khm:exe	ទស្សនាវដ្តីវិទ្យាសាស្ត្របច្ចេកទេសកំពុងពេញនិយមក្នុងចំណោមយុវសិស្ស។
03704210-n	khm:lemma	ទស្សនាវដ្ដី
03704210-n	khm:exe	ទស្សនាវដ្តីវិទ្យាសាស្ត្របច្ចេកទេសកំពុងពេញនិយមក្នុងចំណោមយុវសិស្ស។
08238463-n	khm:lemma	ថ្នាក់
08238463-n	khm:exe	ថ្នាក់ទី១១ ចែកជាក្រុមរៀនព្រឹកនិងក្រុមរៀនល្ងាច។
00050454-v	khm:lemma	ដោះ
00050454-v	khm:exe	ហើយពេលចូលទៅក្នុងវិហារ ត្រូវដោះស្បែកជើងទៀតផង។
02649830-v	khm:lemma	រស់នៅ
02649830-v	khm:exe	ការរស់នៅក្នុងក្រុងកំពុងជួបបញ្ហាស្ទះចរាចរ។
15155891-n	khm:lemma	ថ្ងៃស្អែក
15155891-n	khm:exe	គាត់ថាថ្ងៃស្អែកនឹងសងលុយវិញ តែស្អែកមួយពាន់ដង។
04208936-n	khm:lemma	ងូតទឹកផ្កាឈូក
04208936-n	khm:exe	ក្រោយលេងកីឡា យើងនាំគ្នាងូតទឹកផ្កាឈូក។
15213774-n	khm:lemma	ខែធ្នូ
15213774-n	khm:exe	ដើរលេងតាមស្រុកស្រែក្នុងខែធ្នូ គេឃើញស្រូវទុំក្រហមពេញស្រែ។
00625119-v	khm:lemma	អាន
00625119-v	khm:exe	កាសែតគាំទ្ររដ្ឋាភិបាលគេមិនសូវចង់អាន។
02774152-n	khm:lemma	កាបូប
02774152-n	khm:exe	កាបូបនេះធ្ងន់ណាស់យួរមិនរួចទេ។
02773037-n	khm:lemma	កាបូប
02773037-n	khm:exe	កាបូបនេះធ្ងន់ណាស់យួរមិនរួចទេ។
13250542-n	khm:lemma	លុយ
13250542-n	khm:exe	ដាក់លុយនៅក្នុងស្រោមសំបុត្រអញ្ជើញនេះហើយញ៉ាំរួចហើយយកស្រោមសំបុត្រនេះ ឲ្យអ្នកដែលចាំទទួលចំណងដៃនៅតុ ក្បែរកនែ្លងទទួលភ្ញៀវតែម្តង។
13384557-n	khm:lemma	លុយ
13384557-n	khm:exe	ដាក់លុយនៅក្នុងស្រោមសំបុត្រអញ្ជើញនេះហើយញ៉ាំរួចហើយយកស្រោមសំបុត្រនេះ ឲ្យអ្នកដែលចាំទទួលចំណងដៃនៅតុ ក្បែរកនែ្លងទទួលភ្ញៀវតែម្តង។
05600637-n	khm:lemma	មុខ
05600637-n	khm:exe	លោកប្រធាន គាត់មិនចូលចិត្តឃើញមុខខ្ញុំទេ មើលទៅ។
07597365-n	khm:lemma	ស្ករគ្រាប់
07597365-n	khm:exe	ក្មេងចូលចិត្តបៀមស្ករគ្រាប់។
00024356-r	khm:lemma	អត់ទេ
00024356-r	khm:exe	អត់ទេ អត់យល់ទេ។
03176763-n	khm:lemma	ផ្សារ
03176763-n	khm:exe	ទៅផ្សារទិញអាវថ្មី។
01725051-v	khm:lemma	ដេញ
01725051-v	khm:exe	គាត់ដេញហ្គីតាស្ទាត់ណាស់។
03388183-n	khm:lemma	ស្ទីឡូ
03388183-n	khm:exe	ស្ទីឡូនេះហៀរទឹកប្រឡាក់អាវអស់។
77000089-a	khm:lemma	យ៉ាងនេះ
77000089-a	khm:exe	ចាស ខ្ញុំមិននឹកស្មានថា ភ្លៀងខាំ្លងយ៉ាងនេះសោះ ម្សិលម្ង៉ៃ។
15164354-n	khm:lemma	ថ្ងៃព្រហស្បតិ៍
15164354-n	khm:exe	សាលាបឋមសិក្សាខ្លះ ឈប់រៀនថ្ងៃព្រហស្បតិ៍។
00056916-r	khm:lemma	អញ្ជើញ
00056916-r	khm:exe	សូមអញ្ជើញ។
00816481-a	khm:lemma	យឺត
00816481-a	khm:exe	ខ្ញុំមកយឺតនេះ មកពីស្ទះចរាចរណ៍។
01901186-a	khm:lemma	យឺត
01901186-a	khm:exe	ខ្ញុំមកយឺតនេះ មកពីស្ទះចរាចរណ៍។
04956594-n	khm:lemma	ពណ៌
04956594-n	khm:exe	ស្លឹកឈើប្រែពណ៌នៅរដូវលំហើយ។
04674968-n	khm:lemma	ពណ៌
04674968-n	khm:exe	ស្លឹកឈើប្រែពណ៌នៅរដូវលំហើយ។
07109730-n	khm:lemma	ពាក្យ
07109730-n	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
06282651-n	khm:lemma	ពាក្យ
06282651-n	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
00121135-r	khm:lemma	អញ្ចឹង
00121135-r	khm:exe	ហេតុអីបានជាបណ្តោយឲ្យត្រូវទឹកភ្លៀងអញ្ចឹង?
04962784-n	khm:lemma	ក្រហម
04962784-n	khm:exe	សណ្ឋាគារនេះមានប្រឡោះផ្លូវដើរក្រាលព្រំក្រហម។
03871083-n	khm:lemma	អីវ៉ាន់
03871083-n	khm:exe	អញ្ចឹង សុំផ្ញើអីវ៉ាន់នេះ បានទេ?
02774630-n	khm:lemma	អីវ៉ាន់
02774630-n	khm:exe	អញ្ចឹង សុំផ្ញើអីវ៉ាន់នេះ បានទេ?
07891726-n	khm:lemma	ស្រាទំពាំងបាយជូរ
07891726-n	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
07884567-n	khm:lemma	ស្រាទំពាំងបាយជូរ
07884567-n	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
07891433-n	khm:lemma	ស្រាទំពាំងបាយជូរ
07891433-n	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
15164463-n	khm:lemma	ថ្ងៃសុក្រ
15164463-n	khm:exe	រាល់ល្ងាចថ្ងៃសុក្រ សិស្សម្នាក់ៗសប្បាយចិត្ត។
03581125-n	khm:lemma	កាច់ជ្រុងថ្នល់
03581125-n	khm:exe	ប៉ូលីសឈរតាមកាច់ជ្រុងថ្នល់។
02410393-a	khm:lemma	ក្រាស់
02410393-a	khm:exe	ថង់នេះក្រាស់មែន តែផុយ។
02410393-a	khm:lemma	ធាត់
02410393-a	khm:exe	ថៅកែចិនធាត់ដុះក្បាលពោះស៊្អុយ។
02415390-a	khm:lemma	ក្រាស់
02415390-a	khm:exe	ថង់នេះក្រាស់មែន តែផុយ។
02756821-v	khm:lemma	ភ្លៀង
02756821-v	khm:exe	នៅជប៉ុន ខែមិថុនាជារដូវភ្លៀងធ្លាក់សស្រិច។
02529264-a	khm:lemma	ក្ដៅស្រួល
02529264-a	khm:exe	ដោយសារឡកំដៅប្រើឧស ក្នុងផ្ទះនេះក្ដៅស្រួលណាស់។
01546111-v	khm:lemma	ឈរ
01546111-v	khm:exe	ឆ្កែឈរ ទាបជាងអង្គុយ។
10142747-n	khm:lemma	យាយ
10142747-n	khm:exe	ក្នុងក្រុមគ្រួសារយើង យាយអាយុច្រើនជាងគេ។
07679356-n	khm:lemma	នំប៉័ង
07679356-n	khm:exe	គាត់ញ៉ាំនំបុ័ងដាក់សាច់ប៉ាតេរាល់ព្រឹក។
03259505-n	khm:lemma	ផ្ទះ
03259505-n	khm:exe	សិស្សត្រឡប់ទៅផ្ទះជាក្រុម។
03544360-n	khm:lemma	ផ្ទះ
03544360-n	khm:exe	សិស្សត្រឡប់ទៅផ្ទះជាក្រុម។
03544360-n	khm:lemma	ផ្ទះ
03544360-n	khm:exe	ប៉ុន្តែមុនដំបូង ពិបាកបន្តិច ដោយនឹកផ្ទះផង ចាញ់រងារផង។
08559508-n	khm:lemma	ផ្ទះ
08559508-n	khm:exe	សិស្សត្រឡប់ទៅផ្ទះជាក្រុម។
08559508-n	khm:lemma	ផ្ទះ
08559508-n	khm:exe	ប៉ុន្តែមុនដំបូង ពិបាកបន្តិច ដោយនឹកផ្ទះផង ចាញ់រងារផង។
15210486-n	khm:lemma	ខែកុម្ភៈ
15210486-n	khm:exe	ថ្ងៃទី១៤ខែកុម្ភៈជាទិវានៃសេចក្ដីស្រឡាញ់។
15167349-n	khm:lemma	ពេលយប់
15167349-n	khm:exe	ពេលយប់ គាត់មកពីធ្វើការវិញម៉ោង១១។
15155747-n	khm:lemma	ពេលយប់
15155747-n	khm:exe	ពេលយប់ គាត់មកពីធ្វើការវិញម៉ោង១១។
15167027-n	khm:lemma	ពេលយប់
15167027-n	khm:exe	ពេលយប់ គាត់មកពីធ្វើការវិញម៉ោង១១។
15167027-n	khm:lemma	យប់មិញ
15167027-n	khm:exe	យប់មិញ ដេកជ្រុលមិនបានមើលរឿងតាមទូរទស្សន៍។
15167474-n	khm:lemma	ពេលយប់
15167474-n	khm:exe	ពេលយប់ គាត់មកពីធ្វើការវិញម៉ោង១១។
03438257-n	khm:lemma	កែវ
03438257-n	khm:exe	ពែងកែវនេះ ផឹកកាហ្វេឆ្ងាញ់ណាស់។
08613593-n	khm:lemma	ក្រៅ
08613593-n	khm:exe	បើមានភ្លៀងដើរក្រៅមិនកើត យើងនៅក្នុងផ្ទះសំណាក់ ជជែកគា្នលេង ឬមើលវីដេអូ។
03338821-n	khm:lemma	ហ្វីលម៍
03338821-n	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
06613686-n	khm:lemma	ហ្វីលម៍
06613686-n	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
06613686-n	khm:lemma	កុន
06613686-n	khm:exe	នាងចង់ទៅមើលកុនទេ?
06262567-n	khm:lemma	ហ្វីលម៍
06262567-n	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
04096066-n	khm:lemma	ផ្លូវ
04096066-n	khm:exe	ផ្លូវជាតិនេះធំ ទទឹងផ្លូវបើកឡាន៤ទន្ទឹមគ្នាបាន។
15212739-n	khm:lemma	ខែកញ្ញា
15212739-n	khm:exe	ទឹកទន្លេឡើងខ្លាំងក្នុងខែកញ្ញា។
77000079-a	khm:lemma	នោះ
77000079-a	khm:exe	កន្លែងនោះគ្មានអ្វីសំគាល់ឲ្យស្រួលរកសោះ។
14524198-n	khm:lemma	មេឃស្រទំ
14524198-n	khm:exe	កសិករសាស្រូវ ព្រោះមេឃស្រទំជិតភ្លៀង។
13828795-n	khm:lemma	បណ្ដោយ
13828795-n	khm:exe	ដីឡូនេះមានក្បាល៣០ម៉ែត្រ បណ្ដោយ៥០ម៉ែត្រ។
00543233-n	khm:lemma	ភ្លេង
00543233-n	khm:exe	ភោជនីយដ្ឋាននេះ មានគេប្រគំភ្លេងកំដរផងដែរ។
05718556-n	khm:lemma	ភ្លេង
05718556-n	khm:exe	ភោជនីយដ្ឋាននេះ មានគេប្រគំភ្លេងកំដរផងដែរ។
05718935-n	khm:lemma	ភ្លេង
05718935-n	khm:exe	ភោជនីយដ្ឋាននេះ មានគេប្រគំភ្លេងកំដរផងដែរ។
07020895-n	khm:lemma	ភ្លេង
07020895-n	khm:exe	ភោជនីយដ្ឋាននេះ មានគេប្រគំភ្លេងកំដរផងដែរ។
00409709-r	khm:lemma	ជិត
00409709-r	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
08641113-n	khm:lemma	ជិត
08641113-n	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
03112099-n	khm:lemma	ផ្លូវដើរ
03112099-n	khm:exe	សណ្ឋាគារនេះមានប្រឡោះផ្លូវដើរក្រាលព្រំក្រហម។
03661043-n	khm:lemma	បណ្ណាល័យ
03661043-n	khm:exe	បណ្ណាល័យរបស់សាលានេះបើកថ្ងៃអាទិត្យ តែបិទថ្ងៃចន្ទ។
07840804-n	khm:lemma	ពងមាន់
07840804-n	khm:exe	បនា្ទប់មក យកខ្ទិះដូង ស្ករ ពងមាន់ ដាក់ក្នុងចានគោមហើយវាយឲ្យសព្វចូលគា្ន។
90000502-n	khm:lemma	ឆ្នាំនេះ
90000502-n	khm:exe	រដូវរងាឆ្នាំនេះ ក្ដៅជាងធម្មតា។
03908204-n	khm:lemma	ខ្មៅដៃ
03908204-n	khm:exe	កុមាររៀនសរសេរនឹងខ្មៅដៃ។
14796748-n	khm:lemma	ខ្មៅដៃ
14796748-n	khm:exe	កុមាររៀនសរសេរនឹងខ្មៅដៃ។
05282433-n	khm:lemma	ធ្មេញ
05282433-n	khm:exe	គោអត់មានធ្មេញលើ។
05282746-n	khm:lemma	ធ្មេញ
05282746-n	khm:exe	គោអត់មានធ្មេញលើ។
01649720-a	khm:lemma	ក្មេង
01649720-a	khm:exe	ក្មេងត្រូវកាន់របស់ដៃពីរ ហុចឲ្យចាស់ៗ។
01646941-a	khm:lemma	ក្មេង
01646941-a	khm:exe	ក្មេងត្រូវកាន់របស់ដៃពីរ ហុចឲ្យចាស់ៗ។
00514884-a	khm:lemma	ពេញ
00514884-a	khm:exe	ដើរលេងតាមស្រុកស្រែក្នុងខែធ្នូ គេឃើញស្រូវទុំក្រហមពេញស្រែ។
00988232-a	khm:lemma	ស្គម
00988232-a	khm:exe	គាត់ចង់ស្គម រាល់បាយល្ងាច ហូបតែបបរសត្រីងៀតប៉ុណ្ណោះ។
01029368-v	khm:lemma	ខ្ញុំឈ្មោះ
01029368-v	khm:exe	ជំរាបសួរ ខ្ញុំឈ្មោះសំណាង ចង់ជួបលោកតាណាកា។
77000084-n	khm:lemma	ឯណា
77000084-n	khm:exe	គាត់ថាទុកសៀវភៅខ្ញុំត្រង់នេះ តែនៅឯណាទៅមិនឃើញ?
00220082-a	khm:lemma	ស្អាត
00220082-a	khm:exe	គាត់ពូកែចងក្រវាត់កបានស្អាតណាស់។
01586342-a	khm:lemma	ស្អាត
01586342-a	khm:exe	គាត់ពូកែចងក្រវាត់កបានស្អាតណាស់។
01586342-a	khm:lemma	ល្អ
01586342-a	khm:exe	គេជឿថាស្រាទំពាំងបាយជូរផឹកទៅល្អនឹងសុខភាព។
01346003-v	khm:lemma	បើក
01346003-v	khm:exe	ទំនប់នេះមានទឹកពេញព្រៀប ត្រូវការបើកទ្វារទឹកបញ្ចេញខ្លះ។
09853467-n	khm:lemma	បងប្រុស
09853467-n	khm:exe	គាត់ទៅជាមួយបងប្រុសគាត់។
09853467-n	khm:lemma	បងប្រុស
09853467-n	khm:exe	គាត់ទៅជាមួយបងប្រុសគាត់។
03102654-n	khm:lemma	ទូទឹកកក
03102654-n	khm:exe	មានទូទឹកកកមួយ តែប្រើភ្លើងចុះណាស់។
03273913-n	khm:lemma	ទូទឹកកក
03273913-n	khm:exe	មានទូទឹកកកមួយ តែប្រើភ្លើងចុះណាស់។
02399595-a	khm:lemma	អត់ឆ្ងាញ់
02399595-a	khm:exe	ចុងភៅថ្មីស្លអត់ឆ្ងាញ់សោះ។
01716971-a	khm:lemma	អត់ឆ្ងាញ់
01716971-a	khm:exe	ចុងភៅថ្មីស្លអត់ឆ្ងាញ់សោះ។
07845335-n	khm:lemma	ទឹកដោះគោ
07845335-n	khm:exe	យកកាហ្វេទឹកដោះគោ។
07844042-n	khm:lemma	ទឹកដោះគោ
07844042-n	khm:exe	យកកាហ្វេទឹកដោះគោ។
10780632-n	khm:lemma	ប្រពន្ធ
10780632-n	khm:exe	ក្សិណនោះ ស្រីម្នាក់បានឡើងមកឲ្យដំណឹងនាងថា សង្សារនាងគេមានប្រពន្ធថ្មីទៀតហើយ។
10780632-n	khm:lemma	ប្រពន្ធ
10780632-n	khm:exe	ចាស់ទុំផ្សំផ្គុំឲ្យបានគ្នាជាប្ដីប្រពន្ធ។
08625462-n	khm:lemma	ឆ្វេង
08625462-n	khm:exe	ដើម្បីបត់ឆ្វេង គេលើកដៃឆ្វេង។
90000508-n	khm:lemma	អាទិត្យក្រោយ
90000508-n	khm:exe	ចាស លោកគ្រូពេទ្យថា អាទិត្យក្រោយ ប្តីខ្ញុំអាចទៅធ្វើការបានហើយ។
01848718-v	khm:lemma	ទៅ
01848718-v	khm:exe	ហេតុអ្វី នាងសម្រេចចិត្តទៅរៀនប្រទេសជប៉ុន?
06518719-n	khm:lemma	សំបុត្រ
06518719-n	khm:exe	គាត់ទិញសំបុត្រដើម្បីចូលត្រាំទឹកក្ដៅ។
01470670-v	khm:lemma	ជួប
01470670-v	khm:exe	យ៉ាងណាក៏ដោយ ខ្ញុំនឹងរង់ចាំជួបគាត់។
02428924-v	khm:lemma	ជួប
02428924-v	khm:exe	យ៉ាងណាក៏ដោយ ខ្ញុំនឹងរង់ចាំជួបគាត់។
10285313-n	khm:lemma	កូនប្រុស
10285313-n	khm:exe	នាងសម្រាលបានកូនប្រុសរូបល្អសមសួន។
03542333-n	khm:lemma	សណ្ឋាគារ
03542333-n	khm:exe	សណ្ឋាគារនេះមានប្រឡោះផ្លូវដើរក្រាលព្រំក្រហម។
02913152-n	khm:lemma	អាគារ
02913152-n	khm:exe	រាជធានីភ្នំពេញមិនមានអគារខ្ពស់ស្កឹមស្កៃច្រើនទេ។
07649854-n	khm:lemma	សាច់
07649854-n	khm:exe	ចាស មានគុយទាវ បបរ និងបាយសាច់ជ្រូក។
09397391-n	khm:lemma	ស្រះ
09397391-n	khm:exe	គេចូលចិត្តដាំឈូកក្នុងស្រះដើម្បីឲ្យទឹកស្អាត។
07935152-n	khm:lemma	ទឹកតែ
07935152-n	khm:exe	គាត់មិនចេះឆុងតែជប៉ុនទេ ប៉ុន្ដែចូលចិត្ដផឹកតែជប៉ុនណាស់។
03082979-n	khm:lemma	កុំព្យូទ័រ
03082979-n	khm:exe	អញ្ចឹង ចេះជួសជុលកុំព្យូទ័រខូចទៀតទេ?
00312553-n	khm:lemma	ធ្វើដំណើរ
00312553-n	khm:exe	ទើបតែឥឡូវនេះ ការធ្វើដំណើរតាមរទេះគោលែងមានទៀតហើយ ។
04043733-n	khm:lemma	រ៉ាត់យ៉ូ
04043733-n	khm:exe	យាយក្រោកពីម៉ោង៥ភ្លឺស្តាប់ធម៌តាមរ៉ាត់យ៉ូ។
01442186-a	khm:lemma	ខ្លី
01442186-a	khm:exe	ខោខ្លីលេចជើងវែង។
01436003-a	khm:lemma	ខ្លី
01436003-a	khm:exe	ខោខ្លីលេចជើងវែង។
01442826-a	khm:lemma	ខ្លី
01442826-a	khm:exe	ខោខ្លីលេចជើងវែង។
14513694-n	khm:lemma	ក្រុមគ្រួសារ
14513694-n	khm:exe	បរិយាកាសក្នុងក្រុមគ្រួសារយើងកក់ក្តៅណាស់។
02808440-n	khm:lemma	បន្ទប់ទឹក
02808440-n	khm:exe	ផ្ទះជប៉ុន បន្ទប់ទឹក និងបង្គន់ច្រើនតែនៅដាច់ពីគ្នា។
02807731-n	khm:lemma	បន្ទប់ទឹក
02807731-n	khm:exe	ផ្ទះជប៉ុន បន្ទប់ទឹក និងបង្គន់ច្រើនតែនៅដាច់ពីគ្នា។
15274074-n	khm:lemma	ថ្ងៃឈប់
15274074-n	khm:exe	នៅជប៉ុន ខែឧសភាមានថ្ងៃឈប់ជាប់ៗគ្នាច្រើនជាងគេ។
15183428-n	khm:lemma	ថ្ងៃឈប់
