# TUFS Basic Chinese, Mandarin Wordnet	cmn	http://www.coelang.tufs.ac.jp/mt/zh/	CC BY 4.0
00017865-v	cmn:lemma	睡觉	shuìjiào__orth:pīnyīn
00017865-v	cmn:exe	0	已经十二点了，你快睡觉吧。
00017865-v	cmn:count	睡觉	1
00017865-v	cmn:pron	睡觉	shuìjiào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_98.mp3	
00450147-a	cmn:lemma	近	jìn__orth:pīnyīn
00450147-a	cmn:exe	0	我家离学校很近。
00450147-a	cmn:count	近	2
00450147-a	cmn:pron	近	jìn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_277.mp3	
00444519-a	cmn:lemma	近	jìn__orth:pīnyīn
00444519-a	cmn:exe	0	我家离学校很近。
00444519-a	cmn:count	近	2
00444519-a	cmn:pron	近	jìn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_277.mp3	
00445169-a	cmn:lemma	近	jìn__orth:pīnyīn
00445169-a	cmn:exe	0	我家离学校很近。
00445169-a	cmn:count	近	2
00445169-a	cmn:pron	近	jìn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_277.mp3	
00584367-n	cmn:lemma	工作	gōngzuò__orth:pīnyīn
00584367-n	cmn:exe	0	工作找着了没有?
00584367-n	cmn:count	工作	1
00584367-n	cmn:pron	工作	gōngzuò	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_47.mp3	
07574602-n	cmn:lemma	早饭	zǎofàn__orth:pīnyīn
07574602-n	cmn:exe	0	早饭还没吃呢。
07574602-n	cmn:count	早饭	1
07574602-n	cmn:pron	早饭	zǎofàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_360.mp3	
08078020-n	cmn:lemma	家人	jiārén__orth:pīnyīn
08078020-n	cmn:exe	0	向您家人问好。
08078020-n	cmn:count	家人	1
08078020-n	cmn:pron	家人	jiārén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_80.mp3	
10236304-n	cmn:lemma	家人	jiārén__orth:pīnyīn
10236304-n	cmn:exe	0	向您家人问好。
10236304-n	cmn:count	家人	1
10236304-n	cmn:pron	家人	jiārén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_80.mp3	
07970406-n	cmn:lemma	家人	jiārén__orth:pīnyīn
07970406-n	cmn:exe	0	向您家人问好。
07970406-n	cmn:count	家人	1
07970406-n	cmn:pron	家人	jiārén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_80.mp3	
07970406-n	cmn:lemma	家庭	jiātíng__orth:pīnyīn
07970406-n	cmn:exe	0	几十年前, 我成长在贫困家庭。
07970406-n	cmn:count	家庭	2
07970406-n	cmn:pron	家庭	jiātíng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_81.mp3	
04197391-n	cmn:lemma	汗衫	hànshān__orth:pīnyīn
04197391-n	cmn:exe	0	这件汗衫太脏。
04197391-n	cmn:count	汗衫	1
04197391-n	cmn:pron	汗衫	hànshān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_546.mp3	
09918248-n	cmn:lemma	孩子	háizi__orth:pīnyīn
09918248-n	cmn:exe	0	你有几个孩子?
09918248-n	cmn:exe	1	孩子们排着队走出了校门。
09918248-n	cmn:count	孩子	2
09918248-n	cmn:pron	孩子	háizi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_487.mp3	
12212361-n	cmn:lemma	蔬菜	shūcài__orth:pīnyīn
12212361-n	cmn:exe	0	他买菜去了。
12212361-n	cmn:pron	蔬菜	shūcài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_67.mp3	
07707451-n	cmn:lemma	蔬菜	shūcài__orth:pīnyīn
07707451-n	cmn:exe	0	他买菜去了。
07707451-n	cmn:pron	蔬菜	shūcài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_67.mp3	
03365991-n	cmn:lemma	楼	lóu__orth:pīnyīn
03365991-n	cmn:exe	0	我住在八楼,他住在九楼。
03365991-n	cmn:count	楼	2
03365991-n	cmn:pron	楼	lóu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_226.mp3	
00976508-a	cmn:lemma	快	kuài__orth:pīnyīn
00976508-a	cmn:exe	0	他跑得快不快?
00976508-a	cmn:count	快	2
00976508-a	cmn:pron	快	kuài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_25.mp3	
00981818-a	cmn:lemma	快	kuài__orth:pīnyīn
00981818-a	cmn:exe	0	他跑得快不快?
00981818-a	cmn:count	快	2
00981818-a	cmn:pron	快	kuài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_25.mp3	
00979862-a	cmn:lemma	快	kuài__orth:pīnyīn
00979862-a	cmn:exe	0	他跑得快不快?
00979862-a	cmn:count	快	2
00979862-a	cmn:pron	快	kuài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_25.mp3	
01367431-a	cmn:lemma	热闹	rènao__orth:pīnyīn
01367431-a	cmn:exe	0	星期天, 家里就热闹了。
01367431-a	cmn:exe	1	热热闹闹（地）过个生日
01367431-a	cmn:count	热闹	2
01367431-a	cmn:pron	热闹	rènao	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_280.mp3	
07644382-n	cmn:lemma	鸡肉	jīròu__orth:pīnyīn
07644382-n	cmn:exe	0	我爱吃鸡肉。
07644382-n	cmn:count	鸡肉	1
07644382-n	cmn:pron	鸡肉	jīròu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_70.mp3	
07644967-n	cmn:lemma	鸡肉	jīròu__orth:pīnyīn
07644967-n	cmn:exe	0	我爱吃鸡肉。
07644967-n	cmn:count	鸡肉	1
07644967-n	cmn:pron	鸡肉	jīròu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_70.mp3	
07813107-n	cmn:lemma	盐	yán__orth:pīnyīn
07813107-n	cmn:exe	0	放点儿盐。
07813107-n	cmn:count	盐	1
07813107-n	cmn:pron	盐	yán	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_363.mp3	
07825972-n	cmn:lemma	酱油	jiàngyóu__orth:pīnyīn
07825972-n	cmn:exe	0	加点儿酱油。
07825972-n	cmn:count	酱油	1
07825972-n	cmn:pron	酱油	jiàngyóu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_362.mp3	
02005948-v	cmn:lemma	到	dào__orth:pīnyīn
02005948-v	cmn:exe	0	火车快要到站了。
02005948-v	cmn:exe	1	一到那儿，天就冷了。
02005948-v	cmn:exe	2	你又迟到了。
02005948-v	cmn:count	到	4
02005948-v	cmn:pron	到	dào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_209.mp3	
02930766-n	cmn:lemma	出租车	chūzūchē__orth:pīnyīn
02930766-n	cmn:exe	0	咱们坐出租车去吧。
02930766-n	cmn:count	出租车	1
02930766-n	cmn:pron	出租车	chūzūchē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_556.mp3	
04371225-n	cmn:lemma	游泳池	yóuyǒngchí__orth:pīnyīn
04371225-n	cmn:exe	0	她到游泳池游泳去了。
04371225-n	cmn:count	游泳池	1
04371225-n	cmn:pron	游泳池	yóuyǒngchí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_29.mp3	
00604617-a	cmn:lemma	方便	fāngbiàn__orth:pīnyīn
00604617-a	cmn:exe	0	这枝笔用起来很方便。
00604617-a	cmn:count	方便	1
00604617-a	cmn:pron	方便	fāngbiàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_507.mp3	
15237250-n	cmn:lemma	夏天	xiàtiān__orth:pīnyīn
15237250-n	cmn:exe	0	那个地方夏天热得不得了。
15237250-n	cmn:count	夏天	1
15237250-n	cmn:pron	夏天	xiàtiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_414.mp3	
03757138-n	cmn:lemma	地铁	dìtiě__orth:pīnyīn
03757138-n	cmn:exe	0	我们是坐地铁来的。
03757138-n	cmn:count	地铁	1
03757138-n	cmn:pron	地铁	dìtiě	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_165.mp3	
04349306-n	cmn:lemma	地铁	dìtiě__orth:pīnyīn
04349306-n	cmn:exe	0	我们是坐地铁来的。
04349306-n	cmn:count	地铁	1
04349306-n	cmn:pron	地铁	dìtiě	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_165.mp3	
77000090-n	cmn:lemma	怎么	zěnme__orth:pīnyīn
77000090-n	cmn:exe	0	最近怎么样？
77000090-n	cmn:count	怎么	1
77000090-n	cmn:pron	怎么	zěnme	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_258.mp3	
80001331-x	cmn:lemma	怎么	zěnme__orth:pīnyīn
80001331-x	cmn:exe	0	最近怎么样？
80001331-x	cmn:count	怎么	1
80001331-x	cmn:pron	怎么	zěnme	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_258.mp3	
77000104-n	cmn:lemma	什么时候	shénmeshíhou__orth:pīnyīn
77000104-n	cmn:exe	0	你什么时候回来?
77000104-n	cmn:count	什么时候	1
77000104-n	cmn:pron	什么时候	shénmeshíhou	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_439.mp3	
04105893-n	cmn:lemma	房间	fángjiān__orth:pīnyīn
04105893-n	cmn:exe	0	房间里没有人，门都锁着呢。
04105893-n	cmn:exe	1	房间号码是4512。
04105893-n	cmn:count	房间	2
04105893-n	cmn:pron	房间	fángjiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_91.mp3	
04105893-n	cmn:lemma	公寓	gōngyù__orth:pīnyīn
04105893-n	cmn:exe	0	我们公寓是三室一厅的。
04105893-n	cmn:count	公寓	1
04105893-n	cmn:pron	公寓	gōngyù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_245.mp3	
06415419-n	cmn:lemma	笔记本	bǐjìběn__orth:pīnyīn
06415419-n	cmn:exe	0	他公司的电话号码写在笔记本上。
06415419-n	cmn:count	笔记本	1
06415419-n	cmn:pron	笔记本	bǐjìběn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_135.mp3	
01376705-a	cmn:lemma	有名	yǒumíng__orth:pīnyīn
01376705-a	cmn:exe	0	她是有名的音乐家。
01376705-a	cmn:count	有名	2
01376705-a	cmn:pron	有名	yǒumíng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_517.mp3	
01375831-a	cmn:lemma	有名	yǒumíng__orth:pīnyīn
01375831-a	cmn:exe	0	她是有名的音乐家。
01375831-a	cmn:count	有名	2
01375831-a	cmn:pron	有名	yǒumíng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_517.mp3	
00953216-v	cmn:lemma	聊天	liáotiān__orth:pīnyīn
00953216-v	cmn:exe	0	你要是有空,到我家来玩儿玩儿,咱们聊聊天。
00953216-v	cmn:count	聊天	1
00953216-v	cmn:pron	聊天	liáotiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_480.mp3	
00962447-v	cmn:lemma	聊天	liáotiān__orth:pīnyīn
00962447-v	cmn:exe	0	你要是有空,到我家来玩儿玩儿,咱们聊聊天。
00962447-v	cmn:count	聊天	1
00962447-v	cmn:pron	聊天	liáotiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_480.mp3	
02935891-n	cmn:lemma	食堂	shítáng__orth:pīnyīn
02935891-n	cmn:exe	0	我在学生食堂吃午饭。
02935891-n	cmn:count	食堂	2
02935891-n	cmn:pron	食堂	shítáng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_196.mp3	
01984902-v	cmn:lemma	坐	zuò__orth:pīnyīn
01984902-v	cmn:exe	0	他在沙发上坐着。
01984902-v	cmn:count	坐	1
01984902-v	cmn:pron	坐	zuò	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_121.mp3	
00120223-r	cmn:lemma	一边	yìbiān__orth:pīnyīn
00120223-r	cmn:exe	0	他一边说话，一边收拾工具。
00120223-r	cmn:count	一边	2
00120223-r	cmn:pron	一边	yìbiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_435.mp3	
00120095-r	cmn:lemma	一边	yìbiān__orth:pīnyīn
00120095-r	cmn:exe	0	他一边说话，一边收拾工具。
00120095-r	cmn:count	一边	2
00120095-r	cmn:pron	一边	yìbiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_435.mp3	
02386612-a	cmn:lemma	小	xiǎo__orth:pīnyīn
02386612-a	cmn:exe	0	这个孩子小时候胖过，后来瘦下来了。
02386612-a	cmn:count	小	2
02386612-a	cmn:pron	小	xiǎo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_276.mp3	
02386612-a	cmn:lemma	短	duǎn__orth:pīnyīn
02386612-a	cmn:exe	0	这条裙子太短了。
02386612-a	cmn:count	短	2
02386612-a	cmn:pron	短	duǎn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_115.mp3	
02345713-a	cmn:lemma	坏	huài__orth:pīnyīn
02345713-a	cmn:exe	0	我反对用演员漂亮不漂亮来评价一部电影的好坏。
02345713-a	cmn:count	坏	1
02345713-a	cmn:pron	坏	huài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_289.mp3	
00478311-a	cmn:lemma	坏	huài__orth:pīnyīn
00478311-a	cmn:exe	0	我反对用演员漂亮不漂亮来评价一部电影的好坏。
00478311-a	cmn:count	坏	1
00478311-a	cmn:pron	坏	huài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_289.mp3	
01174222-a	cmn:lemma	坏	huài__orth:pīnyīn
01174222-a	cmn:exe	0	我反对用演员漂亮不漂亮来评价一部电影的好坏。
01174222-a	cmn:count	坏	1
01174222-a	cmn:pron	坏	huài	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_289.mp3	
03025755-n	cmn:lemma	筷子	kuàizi__orth:pīnyīn
03025755-n	cmn:exe	0	中国人一般用筷子吃饭。
03025755-n	cmn:count	筷子	1
03025755-n	cmn:pron	筷子	kuàizi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_184.mp3	
15166191-n	cmn:lemma	下午	xiàwǔ__orth:pīnyīn
15166191-n	cmn:exe	0	你上午值班，下午呢?
15166191-n	cmn:count	下午	1
15166191-n	cmn:pron	下午	xiàwǔ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_421.mp3	
80000080-n	cmn:lemma	这个月	zhèigeyuè__orth:pīnyīn
80000080-n	cmn:exe	0	这个月的工资怎么样了?
80000080-n	cmn:count	这个月	1
80000080-n	cmn:pron	这个月	zhèigeyuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_383.mp3	
06624161-n	cmn:lemma	信	xìn__orth:pīnyīn
06624161-n	cmn:exe	0	他叫我替他寄一封信。
06624161-n	cmn:count	信	1
06624161-n	cmn:pron	信	xìn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_214.mp3	
07929519-n	cmn:lemma	咖啡	kāfēi__orth:pīnyīn
07929519-n	cmn:exe	0	我要喝咖啡。
07929519-n	cmn:count	咖啡	1
07929519-n	cmn:pron	咖啡	kāfēi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_172.mp3	
01729431-v	cmn:lemma	唱歌	chànggē__orth:pīnyīn
01729431-v	cmn:exe	0	她唱歌儿唱得很好听。
01729431-v	cmn:count	唱歌	1
01729431-v	cmn:pron	唱歌	chànggē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_446.mp3	
11501381-n	cmn:lemma	雨	yǔ__orth:pīnyīn
11501381-n	cmn:exe	0	这雨看来大不了。
11501381-n	cmn:exe	1	天气预报说，今天晚上有小雨。
11501381-n	cmn:count	雨	4
11501381-n	cmn:pron	雨	yǔ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_464.mp3	
07749582-n	cmn:lemma	柠檬	níngméng__orth:pīnyīn
07749582-n	cmn:exe	0	红茶里放入一片柠檬。
07749582-n	cmn:count	柠檬	1
07749582-n	cmn:pron	柠檬	níngméng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_174.mp3	
90000511-n	cmn:lemma	前天	qiántiān__orth:pīnyīn
90000511-n	cmn:exe	0	他从前天起一直躺在床上。
90000511-n	cmn:count	前天	1
90000511-n	cmn:pron	前天	qiántiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_433.mp3	
00118032-r	cmn:lemma	那	nà__orth:pīnyīn
00118032-r	cmn:exe	0	那我要这双。
00118032-r	cmn:count	那	1
00118032-r	cmn:pron	那	nà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_519.mp3	
00118032-r	cmn:lemma	那	nà__orth:pīnyīn
00118032-r	cmn:exe	0	那你喝过德国啤酒吧？
00118032-r	cmn:exe	1	那咱们走吧。
00118032-r	cmn:count	那	2
00118032-r	cmn:pron	那	nà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_519.mp3	
04468005-n	cmn:lemma	火车	huǒchē__orth:pīnyīn
04468005-n	cmn:exe	0	坐这趟火车已经来不及了。
04468005-n	cmn:count	火车	1
04468005-n	cmn:pron	火车	huǒchē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_170.mp3	
77000002-n	cmn:lemma	我们	wǒmen__orth:pīnyīn
77000002-n	cmn:exe	0	我们去。
77000002-n	cmn:exe	1	我们
77000002-n	cmn:count	我们	2
77000002-n	cmn:pron	我们	wǒmen	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_250.mp3	
15206296-n	cmn:lemma	一个月	yígeyuè__orth:pīnyīn
15206296-n	cmn:exe	0	一个月
15206296-n	cmn:count	一个月	1
15206296-n	cmn:pron	一个月	yígeyuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_397.mp3	
02834778-n	cmn:lemma	自行车	zìxíngchē__orth:pīnyīn
02834778-n	cmn:exe	0	我骑自行车去。
02834778-n	cmn:count	自行车	1
02834778-n	cmn:pron	自行车	zìxíngchē	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_31.mp3	
06597466-n	cmn:lemma	杂志	zázhì__orth:pīnyīn
06597466-n	cmn:exe	0	图书馆的杂志
06597466-n	cmn:exe	1	中文杂志在上边儿，外文杂志在下边儿。
06597466-n	cmn:count	杂志	3
06597466-n	cmn:pron	杂志	zázhì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_58.mp3	
06595351-n	cmn:lemma	杂志	zázhì__orth:pīnyīn
06595351-n	cmn:exe	0	图书馆的杂志
06595351-n	cmn:exe	1	中文杂志在上边儿，外文杂志在下边儿。
06595351-n	cmn:count	杂志	3
06595351-n	cmn:pron	杂志	zázhì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_58.mp3	
03704210-n	cmn:lemma	杂志	zázhì__orth:pīnyīn
03704210-n	cmn:exe	0	图书馆的杂志
03704210-n	cmn:exe	1	中文杂志在上边儿，外文杂志在下边儿。
03704210-n	cmn:count	杂志	3
03704210-n	cmn:pron	杂志	zázhì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_58.mp3	
08238463-n	cmn:lemma	班	bān__orth:pīnyīn
08238463-n	cmn:exe	0	他们班的学生比我们班少两个。
08238463-n	cmn:count	班	2
08238463-n	cmn:pron	班	bān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_124.mp3	
00050454-v	cmn:lemma	脱	tuō__orth:pīnyīn
00050454-v	cmn:exe	0	快脱衣服。
00050454-v	cmn:count	脱	2
00050454-v	cmn:pron	脱	tuō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_328.mp3	
02649830-v	cmn:lemma	住	zhù__orth:pīnyīn
02649830-v	cmn:exe	0	你住几号楼？
02649830-v	cmn:count	住	2
02649830-v	cmn:pron	住	zhù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_241.mp3	
15155891-n	cmn:lemma	明天	míngtiān__orth:pīnyīn
15155891-n	cmn:exe	0	明天星期天。
15155891-n	cmn:count	明天	1
15155891-n	cmn:pron	明天	míngtiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_423.mp3	
04208936-n	cmn:lemma	淋浴	línyù__orth:pīnyīn
04208936-n	cmn:exe	0	她正在洗淋浴。
04208936-n	cmn:count	淋浴	1
04208936-n	cmn:pron	淋浴	línyù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_239.mp3	
15213774-n	cmn:lemma	十二月	shíèryuè__orth:pīnyīn
15213774-n	cmn:exe	0	十二月二十五号是圣诞节。
15213774-n	cmn:count	十二月	2
15213774-n	cmn:pron	十二月	shíèryuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_385.mp3	
00625119-v	cmn:lemma	看	kàn__orth:pīnyīn
00625119-v	cmn:exe	0	这本书我看过了，你拿走吧。
00625119-v	cmn:count	看	1
00625119-v	cmn:pron	看	kàn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_54.mp3	
02774152-n	cmn:lemma	书包	shūbāo__orth:pīnyīn
02774152-n	cmn:exe	0	我的书包不见了。
02774152-n	cmn:count	书包	1
02774152-n	cmn:pron	书包	shūbāo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_233.mp3	
02773037-n	cmn:lemma	书包	shūbāo__orth:pīnyīn
02773037-n	cmn:exe	0	我的书包不见了。
02773037-n	cmn:count	书包	1
02773037-n	cmn:pron	书包	shūbāo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_233.mp3	
13250542-n	cmn:lemma	钱	qián__orth:pīnyīn
13250542-n	cmn:exe	0	我去银行取钱去。
13250542-n	cmn:count	钱	1
13250542-n	cmn:pron	钱	qián	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_200.mp3	
13384557-n	cmn:lemma	钱	qián__orth:pīnyīn
13384557-n	cmn:exe	0	我去银行取钱去。
13384557-n	cmn:count	钱	1
13384557-n	cmn:pron	钱	qián	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_200.mp3	
05600637-n	cmn:lemma	脸	liǎn__orth:pīnyīn
05600637-n	cmn:exe	0	他一和女孩子说话，脸就红。
05600637-n	cmn:count	脸	1
05600637-n	cmn:pron	脸	liǎn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_344.mp3	
07597365-n	cmn:lemma	糖	táng__orth:pīnyīn
07597365-n	cmn:exe	0	我爱吃糖。
07597365-n	cmn:count	糖	1
07597365-n	cmn:pron	糖	táng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_176.mp3	
00024356-r	cmn:lemma	不	bù__orth:pīnyīn
00024356-r	cmn:exe	0	他不让我看他的照片。
00024356-r	cmn:exe	1	她也不是老师。
00024356-r	cmn:exe	2	不，这是我的。
00024356-r	cmn:exe	3	你哥哥工作不工作? 
00024356-r	cmn:exe	4	今天一点儿也不冷。
00024356-r	cmn:exe	5	我什么也听不见。
00024356-r	cmn:exe	6	这件事谁都不知道。
00024356-r	cmn:exe	7	今天想休息，哪儿也不去。
00024356-r	cmn:exe	8	他病了，上不了课了。
00024356-r	cmn:exe	9	这是杀虫剂，吃不得。
00024356-r	cmn:count	不	10
00024356-r	cmn:pron	不	bù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_204.mp3	
03176763-n	cmn:lemma	百货公司	bǎihuògōngsī__orth:pīnyīn
03176763-n	cmn:exe	0	我到百货公司去买东西。
03176763-n	cmn:count	百货公司	1
03176763-n	cmn:pron	百货公司	bǎihuògōngsī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_227.mp3	
01725051-v	cmn:lemma	弹	tán__orth:pīnyīn
01725051-v	cmn:exe	0	她会弹钢琴。
01725051-v	cmn:count	弹	1
01725051-v	cmn:pron	弹	tán	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_451.mp3	
03388183-n	cmn:lemma	钢笔	gāngbǐ__orth:pīnyīn
03388183-n	cmn:exe	0	这枝钢笔很好写。
03388183-n	cmn:count	钢笔	1
03388183-n	cmn:pron	钢笔	gāngbǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_379.mp3	
77000089-a	cmn:lemma	这么	zhème__orth:pīnyīn
77000089-a	cmn:exe	0	这么大的事，你怎么连问都不问?
77000089-a	cmn:exe	1	你给我买这么多礼物，
77000089-a	cmn:count	这么	2
77000089-a	cmn:pron	这么	zhème	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_261.mp3	
15164354-n	cmn:lemma	星期四	xīngqīsì__orth:pīnyīn
15164354-n	cmn:exe	0	星期四
15164354-n	cmn:count	星期四	1
15164354-n	cmn:pron	星期四	xīngqīsì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_401.mp3	
00056916-r	cmn:lemma	别客气	biékèqi__orth:pīnyīn
00056916-r	cmn:exe	0	谢谢。别客气。
00056916-r	cmn:count	别客气	1
00056916-r	cmn:pron	别客气	biékèqi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_203.mp3	
00056916-r	cmn:lemma	请	qǐng__orth:pīnyīn
00056916-r	cmn:exe	0	你先请。
00056916-r	cmn:count	请	1
00056916-r	cmn:pron	请	qǐng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_207.mp3	
00816481-a	cmn:lemma	慢	màn__orth:pīnyīn
00816481-a	cmn:exe	0	开慢点儿,行吗?
00816481-a	cmn:count	慢	1
00816481-a	cmn:pron	慢	màn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_288.mp3	
01901186-a	cmn:lemma	慢	màn__orth:pīnyīn
01901186-a	cmn:exe	0	开慢点儿,行吗?
01901186-a	cmn:count	慢	1
