# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
01437963-a	arb:exe	11	لأنّني مهتمّ بالثقافة العربيّة منذ زمن طويل.
01437963-a	arb:exe	12	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01437963-a	arb:exe	13	اترك الشعر من الأمام طويلاً بعض الشيء.
01437963-a	arb:exe	14	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01437963-a	arb:exe	15	يغطي الثلج قمة هذا الجبل طوال السنة.
01437963-a	arb:exe	16	اقتربت الامتحانات النهائية فصارت ابنتي تذاكر طول الليل والنهار.
01437963-a	arb:exe	17	هذا الرف طوله 90 سنتيمترا وعرضه 50 سنتيمترا.
01437963-a	arb:exe	18	والأحد بقيت في البيت ونمت طول النهار.
01437963-a	arb:exe	19	ويوم الأحد بقيت في البيت ونمت طول النهار.
01437963-a	arb:count	طَوِيلٌ	1
01437963-a	arb:pron	طَوِيلٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_113.mp3	
01433493-a	arb:lemma	طَوِيلٌ
01433493-a	arb:exe	0	قصت زميلتنا شعرها الطويل الجميل.
01433493-a	arb:exe	1	أرسل الجندي رسالة طويلة إلى أسرته.
01433493-a	arb:exe	2	أصابعها رفيعة وطويلة.
01433493-a	arb:exe	3	هذا العداء ساقاه طويلتان.
01433493-a	arb:exe	4	اَلْفِيلُ خُرْطُومُهُ طَوِيلٌ.
01433493-a	arb:exe	5	لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‎
01433493-a	arb:exe	6	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01433493-a	arb:exe	7	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01433493-a	arb:exe	8	لأنّني مهتمّ بالثقافة العربية منذ زمن طويل.
01433493-a	arb:exe	9	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01433493-a	arb:exe	10	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01433493-a	arb:exe	11	لأنّني مهتمّ بالثقافة العربيّة منذ زمن طويل.
01433493-a	arb:exe	12	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01433493-a	arb:exe	13	اترك الشعر من الأمام طويلاً بعض الشيء.
01433493-a	arb:exe	14	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01433493-a	arb:exe	15	يغطي الثلج قمة هذا الجبل طوال السنة.
01433493-a	arb:exe	16	اقتربت الامتحانات النهائية فصارت ابنتي تذاكر طول الليل والنهار.
01433493-a	arb:exe	17	هذا الرف طوله 90 سنتيمترا وعرضه 50 سنتيمترا.
01433493-a	arb:exe	18	والأحد بقيت في البيت ونمت طول النهار.
01433493-a	arb:exe	19	ويوم الأحد بقيت في البيت ونمت طول النهار.
01433493-a	arb:count	طَوِيلٌ	1
01433493-a	arb:pron	طَوِيلٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_113.mp3	
01444022-a	arb:lemma	طَوِيلٌ
01444022-a	arb:exe	0	قصت زميلتنا شعرها الطويل الجميل.
01444022-a	arb:exe	1	أرسل الجندي رسالة طويلة إلى أسرته.
01444022-a	arb:exe	2	أصابعها رفيعة وطويلة.
01444022-a	arb:exe	3	هذا العداء ساقاه طويلتان.
01444022-a	arb:exe	4	اَلْفِيلُ خُرْطُومُهُ طَوِيلٌ.
01444022-a	arb:exe	5	لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‎
01444022-a	arb:exe	6	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01444022-a	arb:exe	7	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01444022-a	arb:exe	8	لأنّني مهتمّ بالثقافة العربية منذ زمن طويل.
01444022-a	arb:exe	9	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01444022-a	arb:exe	10	سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.
01444022-a	arb:exe	11	لأنّني مهتمّ بالثقافة العربيّة منذ زمن طويل.
01444022-a	arb:exe	12	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01444022-a	arb:exe	13	اترك الشعر من الأمام طويلاً بعض الشيء.
01444022-a	arb:exe	14	أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.
01444022-a	arb:exe	15	يغطي الثلج قمة هذا الجبل طوال السنة.
01444022-a	arb:exe	16	اقتربت الامتحانات النهائية فصارت ابنتي تذاكر طول الليل والنهار.
01444022-a	arb:exe	17	هذا الرف طوله 90 سنتيمترا وعرضه 50 سنتيمترا.
01444022-a	arb:exe	18	والأحد بقيت في البيت ونمت طول النهار.
01444022-a	arb:exe	19	ويوم الأحد بقيت في البيت ونمت طول النهار.
01444022-a	arb:count	طَوِيلٌ	1
01444022-a	arb:pron	طَوِيلٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_113.mp3	
80001077-n	arb:lemma	كَمْ
80001077-n	arb:exe	0	كم ملعقة من السكر تريدين؟
80001077-n	arb:exe	1	كم طالبا في صفكم؟
80001077-n	arb:exe	2	بكم هذا؟
80001077-n	arb:exe	3	هذه الساعة ليست مضبوطة. كم الساعة الآن؟
80001077-n	arb:exe	4	مَعَ كَمْ طَالِبًا سَافَرْتَ إِلَى تُونِسَ؟
80001077-n	arb:exe	5	كَمْ مَرَّةً سَافَرْتَ إِلَى مِصْرَ؟
80001077-n	arb:exe	6	كَمْ وَلَدًا عِنْدَكَ؟
80001077-n	arb:exe	7	كَمْ عَدَدُ ٱلسُّكَّانِ فِي مِصْرَ؟
80001077-n	arb:exe	8	كَمْ عُمْرُكَ؟
80001077-n	arb:exe	9	بكم هذا القميص؟ ... إنّه بـ ٦٠ ديناراً.
80001077-n	arb:exe	10	كم هي الأجرة بدون الفطور؟
80001077-n	arb:exe	11	إذاً هل عندكم موز بالحليب؟
80001077-n	arb:exe	12	وكم صحناً تريدون؟
80001077-n	arb:exe	13	تعالوا لأعرّفكم بالسيّد تاكيشي من اليابان.
80001077-n	arb:exe	14	تتكلّمين العربيّة جيّداً. كم درستها؟
80001077-n	arb:exe	15	كم الأجرة بالبريد البحريّ؟
80001077-n	arb:exe	16	تعالوا لأعرّفكم بالسيّد تاكيشي من اليابان.
80001077-n	arb:exe	17	وكم هي الأجرة بدون الفطور؟
80001077-n	arb:exe	18	كم هي الأجرة؟ ... ديناران، لو سمحت.
80001077-n	arb:exe	19	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	20	كم عمركَ؟
80001077-n	arb:exe	21	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	22	وكم يوماً ستبقى هناك؟ ...سأبقى أسبوعين تقريباً.
80001077-n	arb:exe	23	كم الساعة الآن؟
80001077-n	arb:exe	24	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	25	كم هو الثمن الكلّيّ؟
80001077-n	arb:exe	26	كم يوماً ستبقى هناك؟ ... سأبقى أسبوعين تقريباً.
80001077-n	arb:exe	27	لكم شخصاً؟ … لشخص واحد.
80001077-n	arb:exe	28	وعليكم السلام.
80001077-n	arb:exe	29	سأتصل بكم بالهابف بعد غد.
80001077-n	arb:exe	30	إذاً هل عندكم موز بالحليب؟
80001077-n	arb:exe	31	بكم هذا القميص؟ ... إنّه بـ ٦٠ ديناراً.
80001077-n	arb:exe	32	هل عندكم خدمة الإنترنيت؟
80001077-n	arb:exe	33	وكم يوماً ستبقى هناك؟
80001077-n	arb:exe	34	كم عمرك؟
80001077-n	arb:exe	35	تعالوا لأعرّفكم بالسيّد تاكيشي من اليابان.
80001077-n	arb:exe	36	وكم يكلّفني استخدام الإنترنيت؟
80001077-n	arb:exe	37	بكم هذا القميص؟
80001077-n	arb:exe	38	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	39	كم يستغرق من الوقت؟
80001077-n	arb:exe	40	كم يكلّفني استخدام الإنترنيت؟
80001077-n	arb:exe	41	كم كيلو تريدين؟
80001077-n	arb:exe	42	ما رأيكم أن نتعشّى معاً بعد الدوام؟
80001077-n	arb:exe	43	كم هو الثمن الكلّيّ؟
80001077-n	arb:exe	44	كم يوماً ستبقى هناك؟ ... سأبقى أسبوعين تقريباً.
80001077-n	arb:exe	45	كم يستغرق من الوقت؟
80001077-n	arb:exe	46	كم يستغرق من الوقت؟
80001077-n	arb:exe	47	وكم يستغرق من الوقت؟
80001077-n	arb:exe	48	كم هي الأجرة؟ ... ديناران، لو سمحت.
80001077-n	arb:exe	49	ما رأيكم أن نتعشّى معاً بعد الدوام؟
80001077-n	arb:exe	50	كم عمركَ؟
80001077-n	arb:exe	51	كم كيلو تريدين؟
80001077-n	arb:exe	52	كم يكلّفني استخدام الإنترنيت؟
80001077-n	arb:exe	53	السلام عليكم. … وعليكم السلام.
80001077-n	arb:exe	54	كم في المئة؟
80001077-n	arb:exe	55	كم كيلو تريدين؟ ... كيلو، لو سمحت.
80001077-n	arb:exe	56	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	57	ماذا عندكم إذاً؟
80001077-n	arb:exe	58	وكم صحناً تريدون؟
80001077-n	arb:exe	59	كم يستغرق من الوقت؟ ... يستغرق شهراً تقريباً.
80001077-n	arb:exe	60	هل عندكم غرفة فارغة من الأربعاء القادم لمدّة أسبوع؟
80001077-n	arb:exe	61	كم هي الأجرة بدون الفطور؟
80001077-n	arb:exe	62	وهل عندكم خدمة الإنترنيت؟
80001077-n	arb:exe	63	كم هي الأجرة؟ ... ديناران، لو سمحت.
80001077-n	arb:exe	64	هل عندكم غرفة فارغة من الأربعاء القادم لمدّة أسبوع؟
80001077-n	arb:exe	65	كم يستغرق من الوقت؟ ... يستغرق شهراً تقريباً.
80001077-n	arb:exe	66	وكم صحناً تريدون؟
80001077-n	arb:exe	67	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	68	وكم هي الأجرة بدون الفطور؟ ... ٦٥ ديناراً.
80001077-n	arb:exe	69	كم يوماً ستبقى هنا؟
80001077-n	arb:exe	70	ماذا عندكم إذاً؟
80001077-n	arb:exe	71	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	72	كم عمرك؟
80001077-n	arb:exe	73	ما رأيكم بالمشويّات أو السمك؟
80001077-n	arb:exe	74	كم كيلو تريدين؟
80001077-n	arb:exe	75	بكم هذا القميص، إذا سمحت.
80001077-n	arb:exe	76	كم هو الثمن الكلّيّ؟
80001077-n	arb:exe	77	وما رأيكم بالمشويّات أو السمك؟
80001077-n	arb:exe	78	ماذا عندكم إذاً؟
80001077-n	arb:exe	79	كم يوماً ستبقى هنا؟
80001077-n	arb:exe	80	بكم هذا القميص؟
80001077-n	arb:exe	81	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	82	كم الساعة الآن؟
80001077-n	arb:exe	83	كم في المئة؟
80001077-n	arb:exe	84	 كم يوماً ستبقى هنا؟
80001077-n	arb:exe	85	لكم شخص؟ … لشخص واحد.
80001077-n	arb:exe	86	تتكلّمين العربيّة جيّداً. كم درستها؟
80001077-n	arb:exe	87	كم هو الثمن الكلّيّ؟ ... ٣ دنانير.
80001077-n	arb:exe	88	ما رأيكم بالمشويّات أو السمك؟
80001077-n	arb:exe	89	هل عندكم خدمة الإنترنيت؟
80001077-n	arb:exe	90	ماذا عندكم إذاً؟ ... عندنا شاي فقط.
80001077-n	arb:exe	91	كم الساعة الآن؟
80001077-n	arb:exe	92	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	93	ما رأيكم بالمشويّات أو السمك؟
80001077-n	arb:exe	94	ماذا عندكم إذاً؟ ... عندنا شاي فقط.
80001077-n	arb:exe	95	السلام عليكم. … وعليكم السلام.
80001077-n	arb:exe	96	كم هي الأجرة؟ ... ديناران، لو سمحت.
80001077-n	arb:exe	97	كم يستغرق من الوقت؟
80001077-n	arb:exe	98	كم ساعة تدرسين العربية كلّ يوم؟
80001077-n	arb:exe	99	لكم شخص؟
80001077-n	arb:exe	100	كم هي الأجرة؟
80001077-n	arb:exe	101	وكم الأجرة بالبريد البحريّ؟
80001077-n	arb:exe	102	كم الأجرة بالبريد البحريّ؟
80001077-n	arb:exe	103	وكم صحناً تريدون؟
80001077-n	arb:exe	104	إذاً هل عندكم موز بالحليب؟
80001077-n	arb:exe	105	اترك الأطباق كما هي، من فضلكَ. ما نزال نتناولها.
80001077-n	arb:count	كَمْ	5
80001077-n	arb:pron	كَمْ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_63.mp3	
80001077-n	arb:lemma	بكم
80001077-n	arb:exe	0	بكم هذا؟
80001077-n	arb:count	بكم	1
80001077-n	arb:pron	بكم			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_64.mp3	
80001077-n	arb:lemma	بِكَمْ
80001077-n	arb:exe	0	بكم هذا القميص؟ ... إنّه بـ ٦٠ ديناراً.
80001077-n	arb:exe	1	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	2	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	3	سأتصل بكم بالهابف بعد غد.
80001077-n	arb:exe	4	بكم هذا القميص؟ ... إنّه بـ ٦٠ ديناراً.
80001077-n	arb:exe	5	بكم هذا القميص؟
80001077-n	arb:exe	6	بكم هذا؟
80001077-n	arb:exe	7	بكم الكيلو من هذا البرتقال؟
80001077-n	arb:exe	8	بكم هذا القميص، إذا سمحت.
80001077-n	arb:exe	9	بكم هذا القميص؟
80001077-n	arb:pron	بِكَمْ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_930.mp3	
10665698-n	arb:lemma	تِلْمِيذٌ
10665698-n	arb:exe	0	هذا موضوع إنشاء كتبته تلميذة في الصف الأول من المدرسة الابتدائية.
10665698-n	arb:pron	تِلْمِيذٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_121.mp3	
10665698-n	arb:lemma	طَالِبٌ
10665698-n	arb:exe	0	الطالبات نشيطات والطلاب مجتهدون.
10665698-n	arb:exe	1	كم طالبا في صفكم؟
10665698-n	arb:exe	2	في جامعتنا عدد كبير من الطلاب الأجانب.
10665698-n	arb:exe	3	مطعم الجامعة مزدحم دائما بالطلاب.
10665698-n	arb:exe	4	هم طلاب من الجامعة نفسها.
10665698-n	arb:exe	5	استمع الطلاب إلى محاضرة الأستاذ المشهور وكلهم آذان صاغية.
10665698-n	arb:exe	6	جَارُهُ طَالِبٌ.
10665698-n	arb:exe	7	اَلشَّابُّ طَالِبٌ.
10665698-n	arb:exe	8	لا، لست طالبة. أنا مدرّسة.
10665698-n	arb:exe	9	كنت أشتغل في عمل مؤقّت عندما كنت طالباً.
10665698-n	arb:exe	10	هل حضرتك طالبة؟
10665698-n	arb:exe	11	ما عملك يا سيّد تاكيشي؟ ... أنا طالب.
10665698-n	arb:exe	12	كنت أشتغل في عمل مؤقّت عندما كنت طالبة.
10665698-n	arb:exe	13	ما عملك يا سيّد تاكيشي؟ … أنا طالب.
10665698-n	arb:exe	14	كنت أشتغل في عمل مؤقّت عندما كنت طالباً.
10665698-n	arb:exe	15	 أنا طالب. 
10665698-n	arb:exe	16	أنا طالب.
10665698-n	arb:exe	17	ما عملك، يا سيّد تاكيشي؟ ... أنا طالب.
10665698-n	arb:exe	18	طالب، طالبة، طلّاب
10665698-n	arb:exe	19	ولا تنس أنّ هذه الغرفة ليست لك فقط، بل للطلاب الآخرين أيضاً.
10665698-n	arb:exe	20	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
10665698-n	arb:exe	21	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
10665698-n	arb:exe	22	من الذي طلب القهوة؟
10665698-n	arb:exe	23	لو كنت في مكانك لقدّمت طلباً لهذه الوظيفة.
10665698-n	arb:exe	24	لو كنت في محلّكَ لقدّمت بطلب لهذه الوظيفة.
10665698-n	arb:exe	25	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
10665698-n	arb:count	طَالِبٌ	2
10665698-n	arb:pron	طَالِبٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_123.mp3	
10251779-n	arb:lemma	تِلْمِيذٌ
10251779-n	arb:exe	0	هذا موضوع إنشاء كتبته تلميذة في الصف الأول من المدرسة الابتدائية.
10251779-n	arb:pron	تِلْمِيذٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_121.mp3	
08615374-n	arb:lemma	حَدِيقَةٌ
08615374-n	arb:exe	0	نادت الأم ولدها الذي كان يلعب مع أصدقائه في الحديقة.
08615374-n	arb:exe	1	والداي يزرعان الطماطم والبطاطس في حديقة البيت.
08615374-n	arb:pron	حَدِيقَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_80.mp3	
77000064-n	arb:lemma	أَيٌّ
77000064-n	arb:exe	0	أيهما تفضل، البيض المسلوق أم البيض المقلي؟
77000064-n	arb:exe	1	أيهما تفضل، الشاي أم القهوة؟
77000064-n	arb:exe	2	إلى أين ذاهب؟ ... أنا ذاهب إلى المطار.
77000064-n	arb:exe	3	لماذا تردن أيتها اليابانيات أن تصبحن نحيفات لهذه الدرجة.
77000064-n	arb:exe	4	في أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	5	في أيّ يوم من الشهر نحن اليوم؟
77000064-n	arb:exe	6	ليس هناك أيّ إزعاج أبداً.
77000064-n	arb:exe	7	من أين أنت؟
77000064-n	arb:exe	8	فهل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟
77000064-n	arb:exe	9	في أيّ يوم نحن اليوم؟
77000064-n	arb:exe	10	أحمل القاموس معي لأستطيع الرجوع إليه في أيّ وقت.
77000064-n	arb:exe	11	نلتقي في الشهر القادم أي في شهر سبتمبر إن شاء الله.
77000064-n	arb:exe	12	وهذا أيضاً غير موجود.
77000064-n	arb:exe	13	وتعلّمت كيف أطبخها أيضاً.
77000064-n	arb:exe	14	في أيّ يوم من الشهر نحن اليوم؟
77000064-n	arb:exe	15	وتعلّمت طبخها أيضاً.
77000064-n	arb:exe	16	وعندنا أيضاً حذاء جميل آخر قد يناسبك.
77000064-n	arb:exe	17	من أين حضرتك؟
77000064-n	arb:exe	18	والرطوبة أيضاً عالية.
77000064-n	arb:exe	19	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
77000064-n	arb:exe	20	والرطوبة أيضاً عالية.
77000064-n	arb:exe	21	ليس هناك أيّ إزعاج أبداً.
77000064-n	arb:exe	22	هذا الحذاء أيضاً جميل.
77000064-n	arb:exe	23	ستكون المباراة شيّقة. … وأنا أعتقد ذلك أيضاً.
77000064-n	arb:exe	24	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	25	في أيّ يوم نحن اليوم؟
77000064-n	arb:exe	26	ليس هناك أيّ إزعاج أبداً.
77000064-n	arb:exe	27	إلى أين ذاهب؟ ... أنا ذاهب إلى المطار.
77000064-n	arb:exe	28	أحمل القاموس معي لأستطيع الرجوع إليه في أيّ وقت.
77000064-n	arb:exe	29	ولا تنس أنّ هذه الغرفة ليست لك فقط، بل للطلاب الآخرين أيضاً.
77000064-n	arb:exe	30	وعندنا أيضاً حذاء جميل آخر قد يناسبك.
77000064-n	arb:exe	31	وهذا أيضاً غير موجود.
77000064-n	arb:exe	32	وهل عندك حرارة أيضاً؟
77000064-n	arb:exe	33	وهذا الطرد أيضاً، من فضلك.
77000064-n	arb:exe	34	وهل عندك حرارة أيضاً؟ ... نعم، حرارتي مرتفعة قليلاً.
77000064-n	arb:exe	35	في أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	36	نعم، وأنا أفكّر في هذا أيضاً.
77000064-n	arb:exe	37	جاء أخي وأسرته أيضاً.
77000064-n	arb:exe	38	في أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	39	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	40	في أيّ ساعة يبدأ المصرف كلّ يوم؟
77000064-n	arb:exe	41	في أيّ يوم من الشهر نحن اليوم؟
77000064-n	arb:exe	42	هذا صحيح. وأنا أعتقد ذلك أيضاً.
77000064-n	arb:exe	43	وعندنا أيضاً حذاء جميل آخر قد يناسبك.
77000064-n	arb:exe	44	إلى أين ذاهب؟
77000064-n	arb:exe	45	والرطوبة أيضاً عالية.
77000064-n	arb:exe	46	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	47	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
77000064-n	arb:exe	48	هل نقولها أيضاً عند الاعتذار أو الخروج من الفصل؟ … نعم.
77000064-n	arb:exe	49	وهذا أيضاً غير موجود.
77000064-n	arb:exe	50	ومن أين في مصر؟
77000064-n	arb:exe	51	وأنا أعتقد ذلك أيضاً.
77000064-n	arb:exe	52	في أيّ ساعة يبدأ كلّ يوم؟
77000064-n	arb:exe	53	إلى أين أنتم ذاهبون؟
77000064-n	arb:exe	54	أحمل القاموس معي لأستطيع الرجوع إليه في أيّ وقت.
77000064-n	arb:exe	55	عفوا لو سمحت، أين محطة قطار الأنفاق؟
77000064-n	arb:exe	56	وأنا أيضاً.
77000064-n	arb:exe	57	نعم، وأنا أفكّر في هذا أيضاً.
77000064-n	arb:exe	58	في أيّ يوم من الشهر نحن اليوم؟
77000064-n	arb:exe	59	جاء أخي وأسرته أيضاً.
77000064-n	arb:exe	60	عندنا عصير برتقال أو شاي فقط.
77000064-n	arb:exe	61	عندنا عصير برتقال أو شاي فقط.
77000064-n	arb:exe	62	وبعد الأكل نريد الشاي أو القهوة.
77000064-n	arb:exe	63	والداي يزرعان الطماطم والبطاطس في حديقة البيت.
77000064-n	arb:exe	64	اشربي الشاي بالعسل لأنّه مفيد للحلق.‎
77000064-n	arb:exe	65	عندنا عصير برتقال أو شاي فقط.
77000064-n	arb:exe	66	ماذا عندكم إذاً؟ ... عندنا شاي فقط.
77000064-n	arb:exe	67	ماذا عندكم إذاً؟ ... عندنا شاي فقط.
77000064-n	arb:exe	68	في اليابان لا نضع السكر في الشاي الأخضر.
77000064-n	arb:exe	69	عندنا عصير برتقال أو شاي فقط.
77000064-n	arb:exe	70	عندنا عصير برتقال أو شاي فقط.
77000064-n	arb:pron	أَيٌّ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_240.mp3	
03290771-n	arb:lemma	مَدْخَلٌ
03290771-n	arb:exe	0	يقف الحارس عند مدخل المصرف.
03290771-n	arb:exe	1	مَدْخَلٌ لِلْبَيْتِ
03290771-n	arb:exe	2	دخل الرجال مطعما عربيا فطلبوا كبابا.
03290771-n	arb:exe	3	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
03290771-n	arb:exe	4	عندما تدخل غرفة "التاتامي" فعليك أن تخلع الخف وتتركه في الممر.
03290771-n	arb:exe	5	اخلع حذاءك قبل أن تدخل المسجد.
03290771-n	arb:exe	6	أدخل اسمك كاملاً وكلمة السرّ.
03290771-n	arb:exe	7	لندخل ذلك المقهى!
03290771-n	arb:exe	8	وادخل إلى اليمين عند تلك الإشارة.‎
03290771-n	arb:exe	9	عاد الهدوء إلى الفصل حينما دخل الأستاذ.
03290771-n	arb:exe	10	يتغير جو المكتب تماما عندما يدخل مدير الشركة.
03290771-n	arb:exe	11	وادخل إلى اليمين عند تلك الإشارة.‎
03290771-n	arb:exe	12	كانت أختي تقرأ جريدة عندما دخلت غرفتها.
03290771-n	arb:exe	13	وادخل إلى اليمين عند تلك الإشارة.
03290771-n	arb:exe	14	وادخل إلى اليمين عند تلك الإشارة.
03290771-n	arb:exe	15	NGاخلع حذاءك قبل أن يدخل المسجد
03290771-n	arb:exe	16	دفع الرجل الباب دفعة قوية ودخل بيته غاضبا.
03290771-n	arb:exe	17	لندخل ذلك المقهى!
03290771-n	arb:exe	18	وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.
03290771-n	arb:count	مَدْخَلٌ	1
03290771-n	arb:pron	مَدْخَلٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_191.mp3	
06409752-n	arb:lemma	موضوع إنشاء
06409752-n	arb:exe	0	هذا موضوع إنشاء كتبته تلميذة في الصف الأول من المدرسة الابتدائية.
06409752-n	arb:count	موضوع إنشاء	1
06409752-n	arb:pron	موضوع إنشاء			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_130.mp3	
10286084-n	arb:lemma	أَخٌ
10286084-n	arb:exe	0	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
10286084-n	arb:exe	1	أخي هو لاعب كرة قدم ماهر.
10286084-n	arb:exe	2	هل لك إخوة وأخوات؟ ... نعم، لي أخوان وأختان.
10286084-n	arb:exe	3	لَهُ أَخٌ/ صَوْتٌ جَمِيلٌ.
10286084-n	arb:exe	4	في الساعة السابعة والربع أخرج إلى عملي.
10286084-n	arb:exe	5	سأدفع أنا طبعاً. ... لقد أخجلتني.
10286084-n	arb:exe	6	لي أخوان وأخت واحدة.‎
10286084-n	arb:exe	7	ما اسم أختك؟ ... أختي اسمها دلال.
10286084-n	arb:exe	8	سأدفع أنا طبعاً. ... لقد أخجلتني.
10286084-n	arb:exe	9	لي أخوان وأخت واحدة.‎‎
10286084-n	arb:exe	10	لي أخوان وأخت واحدة.‎
10286084-n	arb:exe	11	أخ، أخوان، ثلاثة إخوة، أربعة إخوة، خمسة إخوة
10286084-n	arb:exe	12	يا تاكيشي، هذا أخي عصام وهذه أختي سارة.
10286084-n	arb:exe	13	عاد أخي وأسرته إلى بيتهم في المساء.
10286084-n	arb:exe	14	أرجو أن أراك مرّة أخرى. ... إن شاء الله.‎
10286084-n	arb:exe	15	ما اسم أخيك؟ ... أخي اسمه عصام.
10286084-n	arb:exe	16	لقد أخجلتني.
10286084-n	arb:exe	17	أيّهما أكبر، أخوك أم أنت؟
10286084-n	arb:exe	18	دعنا نتقابل في مناسبة أخرى، إن شاء الله.
10286084-n	arb:exe	19	للأسف الشديد أنا مشغول يومي يوم الخميس والأحد، لذلك لا أستطيع أن أخرج معك .
10286084-n	arb:exe	20	لي أخوان وأخت واحدة.‎‎
10286084-n	arb:exe	21	أنا بطيء الفهم سريع النسيان، فأرجو أن تشرح لي مرة أخرى.
10286084-n	arb:exe	22	هذا أخي عصام وهذه أختي سارة.‎
10286084-n	arb:exe	23	تحب أختي التسوق.
10286084-n	arb:exe	24	هذا أخي.
10286084-n	arb:exe	25	كيف أكون زوجة له وأنا أعتبره مثل أخي؟
10286084-n	arb:exe	26	أنا أصغر من أختي بسنتين.
10286084-n	arb:exe	27	هي صديقتي الحميمة وأعتبرها مثل أختي.
10286084-n	arb:exe	28	على كلّ حال، أرجو أن أراك مرّة أخرى.
10286084-n	arb:exe	29	أرجو أن أراك مرّة أخرى. ... إن شاء الله.‎
10286084-n	arb:exe	30	جاء أخي وأسرته أيضاً.
10286084-n	arb:exe	31	أخت، أختان، ثلاث أخوات، أربع أخوات، خمس أخوات
10286084-n	arb:exe	32	كانت أختي تقرأ جريدة عندما دخلت غرفتها.
10286084-n	arb:exe	33	ما اسم أختك؟ ... أختي اسمها دلال.
10286084-n	arb:exe	34	ما اسم أخيك؟ ... أخي اسمه عصام.
10286084-n	arb:exe	35	أريد أن أنقل أخبار العالم العربي بموضوعيّة إلى الشعب اليابانيّ.
10286084-n	arb:exe	36	فأريد أن أنقل أخبار العالم العربيّ بموضوعيّة إلى الشعب اليابانيّ.
